Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2014-05-26-T-001,,,"[(proc text) ""to amend the Radiation Protection Act (Chapter 262 of the 2008 Revised Edition)"", (proc text)]",1,1,2014-05-26-T-001-S-00001
2014-05-26-T-001,,,"[(proc text) presented by	the Minister for Transport (Mr Lui Tuck Yew) (for the Minister for the Environment and Water Resources); read the First time; to be read a Second time on the next available Sitting of Parliament, and to be printed. (proc text)]",2,2,2014-05-26-T-001-S-00002
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"Mdm Speaker, I beg to move, ""That the following Address in reply to the Speech of the President be agreed to  'We, the Parliament of the Republic of Singapore, express our thanks to the President for the Speech which he delivered on behalf of the Government at the Opening of the Second Session of this Parliament.'.""",1,3,2014-05-26-T-002-S-00003
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"Thank you for the privilege to begin the proceedings in this important Sitting, that marks the second-half of our term in Parliament. President Tony Tan set the tone for the rest of this term in his opening speech last week. He offered a vision for the future – a Singapore for all, and a Singapore that will be better for our people. Allow me to speak now in Malay, Madam.",2,4,2014-05-26-T-002-S-00004
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"(In Malay)  [Please refer to  Vernacular Speech.] The President's Address provides a comprehensive plan on the Government's focus to further improve the lives of all Singaporeans, in addition to ensuring that our nation stays resilient in facing rapid developments. Singaporeans, in general, aspire to continually improve themselves. Those who are left behind also have opportunities to better their lives, through the system of meritocracy and various Government policies that are focused on helping them.",3,5,2014-05-26-T-002-S-00005
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),The Malay/Muslim community in Singapore have also ascended and progressed from generation to generation. This aspiration was able to be fulfilled through various programmes as well as the spirit of self-reliance and the strength of gotong royong that forms part of the lives of Malays in Singapore. It is true that more needs to be done.,4,6,2014-05-26-T-002-S-00006
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"However, the one thing that is exceptional and gives us pride is the awareness among the Malay/Muslims about the importance of investing in education, which is a pillar of success. Just like other communities, the Malays also face many kinds of challenges and concerns, including day-to-day issues like cost of living and social issues. However, one of the long-term solutions is to use every opportunity to upgrade ourselves, in order to take advantage of the potential available globally, through our education and economic systems.",5,7,2014-05-26-T-002-S-00007
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"The same goes for professionals and entrepreneurs who need to reinvent themselves with new abilities and capabilities that are relevant to global developments and requirements. I also welcome the efforts by Malay/Muslim SMEs that continuously undertake initiatives to provide focus, in order to overcome all obstacles and challenges to be more competitive, in addition to using assistance programmes provided by the Government. The forum organised by the Singapore Malay Chamber of Commerce and Industry is an important platform to find ways to overcome present challenges.",6,8,2014-05-26-T-002-S-00008
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"The Malay/Muslim community can and should make use of Government programmes to take full advantage of regional opportunities. In this aspect, perhaps the Government can play a role to facilitate these businessmen and women in making use of the available network and build ties among organisations from different industries so that the Malay/Muslim business community can have collaborations and learn from them.",7,9,2014-05-26-T-002-S-00009
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"As a community that possesses a strong gotong royong spirit, we are also proud to see the successful ones, comprising more professionals and entrepreneurs, who are willing to step forward and serve the community and country. One example is Ms Rahayu Mohamad, a mother of six, who is an educational consultant and a professional. Although she is busy with her duties as a mother and a professional, she still finds time to do community work. She serves, amongst other things, in the Singapore Muslim Women Association (PPIS) and the Kampong Siglap Mosque.",8,10,2014-05-26-T-002-S-00010
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"Another example is the Chief Executive Officer of Cathay Organisations, Mr Suhaimi Rafdi, who wants to do something for the community after climbing the career ladder. He, amongst other things, serves in the Singapore Anti-Narcotics Association (SANA), Tampines Secondary School and is also a youth mentor. He does grassroots work in Tampines as well.",9,11,2014-05-26-T-002-S-00011
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"Their contributions are very meaningful, which shows that our community does not forget those who are in need.",10,12,2014-05-26-T-002-S-00012
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"In conclusion, I am confident that for the Malay/Muslim community, there is much potential for us to become successful citizens of Singapore. We must continue to become citizens who make contributions to the nation and community.",11,13,2014-05-26-T-002-S-00013
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),(In English)  I remember that at the beginning of this term in Parliament we faced the challenge to address a number of hot button issues. Members of this House have debated over many of these issues in this Chamber. To the credit of the Government – that has always stood for active and effective action – we have seen a number of improvements today through the various changes in policies implemented.,12,14,2014-05-26-T-002-S-00014
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"We have seen improvements in housing with measures to boost supply, cooling measures to stabilise prices. The past year has also seen greater social support for the low-income to help them own their homes, support their children through school and childcare as well as greater support given to low-wage workers through the introduction of the Progressive Wage model (PWM).",13,15,2014-05-26-T-002-S-00015
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"For our seniors, whom in the past, had serious concerns on whether they are adequately covered for their health expenses, they are now better covered through programmes such as the Pioneer Generation Package (PGP).",14,16,2014-05-26-T-002-S-00016
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"In my constituency, I have also seen the effects of our policy on the cases that we have at the Meet-the-People Sessions (MPS). We hardly see any appeals from first-time HDB applicants today, including those from low-income families, because our housing policies have made first-time home ownership more affordable and new flats are in better supply.",15,17,2014-05-26-T-002-S-00017
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"As Town Council Chairman, it is also heartening that all our cleaners have benefited from PWM and seen their wages improve today for them to bring home more income for their families.",16,18,2014-05-26-T-002-S-00018
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),The setting up of Social Service Offices (SSO) in the heartlands has also made a difference. They have made social assistance schemes and job matching more accessible to my residents.,17,19,2014-05-26-T-002-S-00019
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"To this end, I have residents such as Ms Yap, a single mother, who was forced to work as a cleaner after her husband passed away. Her salary was initially low, but it has gone up in the past two years as a result of PWM. Today, she is able to support her children who have progressed well in school and one is studying in polytechnic. She is helped by Government social assistance and, just as important, support from the community.",18,20,2014-05-26-T-002-S-00020
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"Be it in housing, education, healthcare, transport or cost of living, the Government has adapted its policies to suit the changing needs of Singapore and Singaporeans. And this, the Government did by listening closely to the ground, through channels like Our Singapore Conversation (OSC), constituency dialogues and various public consultation exercises. By listening to and understanding the diverse concerns of Singaporeans, the Government gets a better feel for the issues that need to be prioritised – and how to fine-tune the policies.",19,21,2014-05-26-T-002-S-00021
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),But our job is not done even though the situation and public sentiment has improved on many of our national issues. There is more that we need to do and there are people who still need our help.,20,22,2014-05-26-T-002-S-00022
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"I support the President's speech to chart our way forward, laying out an agenda that is far-sighted to safeguard and build our future for a better Singapore. I would like to see more ""heart"" in how the Government will implement the mission laid out by the President, particularly in the following areas.",21,23,2014-05-26-T-002-S-00023
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"We should strengthen our safety nets to help the vulnerable and elderly – in a way that one will not feel they lose their self-worth while asking for help and, at the same time, inculcate a sense of compassion in our people to be proactive in helping those who are less fortunate.",22,24,2014-05-26-T-002-S-00024
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"We need to give our people greater assurance and peace of mind that they can retire comfortably here in their old age – while continuing to provide our seniors active economic opportunities to be self-reliant, in a dignified manner and not worry about being a burden to the family.",23,25,2014-05-26-T-002-S-00025
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"We need to ensure our social fabric – families and communities – remains cohesive for generations to come, respecting our multiracial, multi-religious norms that we have painstakingly built over the years.",24,26,2014-05-26-T-002-S-00026
2014-05-26-T-002,Zaqy Mohamad,Mr Zaqy Mohamad (Chua Chu Kang),"We need to provide a safe and secure, high quality of living that is affordable for Singaporeans to enjoy a better quality of life and, yet, citizens must also feel that basic public services, including housing, food, basic goods and transport options, remain affordable.",25,27,2014-05-26-T-002-S-00027
