Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2014-07-07-T-001,Speaker,Mdm Speaker,I have to inform hon Members that I have on 2 June 2014 communicated to the President the Address of Thanks agreed to by resolution of this Parliament on 30 May 2014.,1,1,2014-07-07-T-001-S-00001
2014-07-07-T-002,R Dhinakaran,Mr R Dhinakaran,asked the Minister for Transport what are the key considerations for the change in the public bus transport model and what will be the initial investment by the Government in this model.,1,2,2014-07-07-T-002-S-00002
2014-07-07-T-002,Christopher de Souza,Mr Christopher de Souza,asked the Minister for Transport how his Ministry envisions the new bus contracting model in which operators will bid for a package of routes through competitive tendering as being able to achieve better service and affordable fares to commuters as well as the plying of buses on less lucrative but necessary routes.,1,3,2014-07-07-T-002-S-00003
2014-07-07-T-002,Teo Siong Seng,Mr Teo Siong Seng,"asked the Minister for Transport whether the Government has made a provision in the Budget for the new bus contracting model and, if so, whether the budget will be made transparent to the public.",1,4,2014-07-07-T-002-S-00004
2014-07-07-T-002,Gerald Giam Yean Song,Mr Gerald Giam Yean Song,asked the Minister for Transport under the new Government contracting model for public buses (a) how does the Government plan to buy back the public bus infrastructure and operating assets currently owned by the two public transport operators (PTOs); (b) how will the value of these assets be assessed; (c) how will the Government ensure that the PTOs do not profit from the disposal of these assets; and (d) how will the Government fund these asset purchases.,1,5,2014-07-07-T-002-S-00005
2014-07-07-T-002,Gerald Giam Yean Song,Mr Gerald Giam Yean Song,asked the Minister for Transport (a) whether the Government expects to make an operating loss over the long term under the new Government contracting model for public buses; and (b) approximately how much operating subsidies the Government expects to inject into the public bus system each year.,1,6,2014-07-07-T-002-S-00006
2014-07-07-T-002,Gerald Giam Yean Song,Mr Gerald Giam Yean Song,asked the Minister for Transport (a) whether the Government has any plans to extend the new public bus contracting model to the MRT system; and (b) whether the Government is satisfied with the current MRT ownership and operating model.,1,7,2014-07-07-T-002-S-00007
2014-07-07-T-002,Lui Tuck Yew,The Minister for Transport (Mr Lui Tuck Yew),"Mdm Speaker, with your permission, I would like to take Question Nos 1 to 6 together, please.",1,8,2014-07-07-T-002-S-00008
2014-07-07-T-002,Speaker,Mdm Speaker,"Yes, please.",1,9,2014-07-07-T-002-S-00009
2014-07-07-T-002,Lui Tuck Yew,Mr Lui Tuck Yew,"As announced in May, we are moving the public bus industry from the current privatised model to a Government Contracting Model.",1,10,2014-07-07-T-002-S-00010
