Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2014-09-08-T-001,Speaker,Mdm Speaker,"Order. Pursuant to the Constitution of the Republic of Singapore, the Special Select Committee nominated the following nine persons to the President for appointment as Nominated Members of Parliament",1,1,2014-09-08-T-001-S-00001
2014-09-08-T-001,Speaker,Mdm Speaker,Ms Chia Yong Yong;,2,2,2014-09-08-T-001-S-00002
2014-09-08-T-001,Speaker,Mdm Speaker,Mr Thomas Chua Kee Seng;,3,3,2014-09-08-T-001-S-00003
2014-09-08-T-001,Speaker,Mdm Speaker,Mr Karthikeyan s/o R Krishnamurthy;,4,4,2014-09-08-T-001-S-00004
2014-09-08-T-001,Speaker,Mdm Speaker,Ms Kuik Shiao-Yin;,5,5,2014-09-08-T-001-S-00005
2014-09-08-T-001,Speaker,Mdm Speaker,Mr Mohd Ismail Bin Hussein;,6,6,2014-09-08-T-001-S-00006
2014-09-08-T-001,Speaker,Mdm Speaker,Ms Rita Soh Siow Lan;,7,7,2014-09-08-T-001-S-00007
2014-09-08-T-001,Speaker,Mdm Speaker,Dr Benedict Tan Chi'-Loong;,8,8,2014-09-08-T-001-S-00008
2014-09-08-T-001,Speaker,Mdm Speaker,Assoc Prof Randolph Tan Gee Kwang; and,9,9,2014-09-08-T-001-S-00009
2014-09-08-T-001,Speaker,Mdm Speaker,Prof Tan Tai Yong.,10,10,2014-09-08-T-001-S-00010
2014-09-08-T-001,Speaker,Mdm Speaker,"On 26 August 2014, President Tony Tan, by Instruments of Appointment dated on the same day, appointed the nine Members as NMPs for a term of two and a half years with effect from 26 August 2014.",11,11,2014-09-08-T-001-S-00011
2014-09-08-T-001,Speaker,Mdm Speaker,The Nominated Members are present today to take their seats. They will now take their oath or affirmation of allegiance.,12,12,2014-09-08-T-001-S-00012
2014-09-08-T-002,,,"The following Members took and subscribed the Oath of Allegiance, or made Affirmation of Allegiance, in the order below",1,13,2014-09-08-T-002-S-00013
2014-09-08-T-002,,,Ms Chia Yong Yong (Nominated Member of Parliament);,2,14,2014-09-08-T-002-S-00014
2014-09-08-T-002,,,Mr Thomas Chua Kee Seng (Nominated Member of Parliament);,3,15,2014-09-08-T-002-S-00015
2014-09-08-T-002,,,Mr Karthikeyan s/o R Krishnamurthy (Nominated Member of Parliament);,4,16,2014-09-08-T-002-S-00016
2014-09-08-T-002,,,Ms Kuik Shiao-Yin (Nominated Member of Parliament);,5,17,2014-09-08-T-002-S-00017
2014-09-08-T-002,,,Mr Mohd Ismail Bin Hussein (Nominated Member of Parliament);,6,18,2014-09-08-T-002-S-00018
2014-09-08-T-002,,,Ms Rita Soh Siow Lan (Nominated Member of Parliament);,7,19,2014-09-08-T-002-S-00019
2014-09-08-T-002,,,Dr Benedict Tan Chi'-Loong (Nominated Member of Parliament);,8,20,2014-09-08-T-002-S-00020
2014-09-08-T-002,,,Assoc Prof Randolph Tan Gee Kwang (Nominated Member of Parliament); and,9,21,2014-09-08-T-002-S-00021
2014-09-08-T-002,,,Prof Tan Tai Yong (Nominated Member of Parliament).,10,22,2014-09-08-T-002-S-00022
2014-09-08-T-002,Speaker,Mdm Speaker,I welcome the Nominated Members of Parliament and look forward to their participation in the proceedings of this House. Order. Questions for Oral Answer.,1,23,2014-09-08-T-002-S-00023
2014-09-08-T-003,Alex Yam,Mr Alex Yam,asked	 the Minister for Health with regard to the Ebola outbreak in West Africa and the spread through flights from the region (a) what contingency plans does the Ministry have in place to deal with such virulent conditions coming into Singapore; and (b) how prepared is our healthcare system to deal with any potential outbreak of contagious diseases.,1,24,2014-09-08-T-003-S-00024
2014-09-08-T-003,Lina Chiam,Mrs Lina Chiam,"asked	 the Minister for Health (a) whether there is a necessity to detect and keep vigilant for any early signs of an Ebola outbreak from incoming and outgoing passengers travelling by air, sea or land; and (b) what are the contingency plans for such an outbreak of the virulent disease.",1,25,2014-09-08-T-003-S-00025
2014-09-08-T-003,Christopher de Souza,Mr Christopher de Souza,asked	 the Minister for Health (a) what preventive measures and precautions has the Ministry been taking to prevent an outbreak of the Ebola virus in Singapore given Singapore's position as a key aviation hub in the region; (b) what is the Ministry's response and treatment plan should a person who has contracted the Ebola virus enter Singapore; and (c) what medical assistance will be provided to the person who has contracted the Ebola virus.,1,26,2014-09-08-T-003-S-00026
2014-09-08-T-003,Lam Pin Min,The Minister of State for Health (Dr Lam Pin Min),"Mdm Speaker, may I have your permission to take Question Nos 1 to 3 together?",1,27,2014-09-08-T-003-S-00027
