speech_id,topic_id,speech_order,member_name,text
2015-02-12-T-001-S-00001,2015-02-12-T-001,1,Gan Thiam Poh,asked  the Minister for Transport why LTA is not in favour of revamping the existing COE bidding system to allow (i) only the applicants to bid for themselves; and (ii) Pay-As-You-Bid by applicants.
2015-02-12-T-001-S-00002,2015-02-12-T-001,2,Josephine Teo,"<strong style=""color  rgb(0, 0, 0); background-color  transparent;"">(for the Minister for Transport)</strong>"
2015-02-12-T-001-S-00003,2015-02-12-T-001,3,Josephine Teo,"Some felt that dealers provided a convenient service when bidding on buyers' behalf. This approach also allowed the cost of the COE to be financed together with the vehicle cost in a loan package. Others noted that banning dealers from bidding would not lower the price of COEs as the dealers' bids were ultimately a reflection of the underlying demand and buyers' willingness to pay. Some also pointed out that a ban on dealers bidding could be easily circumvented, for instance, by the buyer providing personal details to the dealer to bid in his name."
2015-02-12-T-001-S-00004,2015-02-12-T-001,4,Josephine Teo,"On the other hand, arguably, having a wider pool of bidders can make the auction and price discovery process more robust. On balance, the LTA decided to maintain the current system which gives vehicle buyers the flexibility to bid for themselves or have dealers bid on their behalf."
2015-02-12-T-001-S-00005,2015-02-12-T-001,5,Josephine Teo,"The Pay-As-You-Bid model was also consulted on. It should be noted that, empirically, 80%-90% of the successful COE bids are typically clustered within 5%-10% of the final COE price. This suggests that the current bidding model is fairly robust, with not many extreme bids. In fact, experts in auction theory agree that the current system, which prices all COEs within a category uniformly, incentivises bidders to bid their true valuation. It also levels the playing field between the well-informed and the less-informed participants and it is the most efficient allocation mechanism."
2015-02-12-T-001-S-00006,2015-02-12-T-001,6,Josephine Teo,"In contrast, under a Pay-As-You-Bid system, bidders are likely to have to spend more time and transactional costs monitoring the bidding and adjusting their bids incrementally."
2015-02-12-T-001-S-00007,2015-02-12-T-001,7,Josephine Teo,"That said, whatever the debate on the merits and demerits of different auction models, we should acknowledge the fact that COE prices are fundamentally dependent on demand and supply."
2015-02-12-T-002-S-00008,2015-02-12-T-002,8,Lim Wee Kiak,"asked the Minister for Transport (a) when will the framework to regulate the use of drones be legislated; (b) what controls are currently in place as interim measures to monitor the use of drones in the public domain; (c) whether drone owners are required to register their equipment to own and operate a drone; (d) how can an individual or a private enterprise protect its privacy and security against anyone using a drone to pry into his property; and (e) whether a person can fly a drone across sovereign borders and, if not, what are the penalties."
2015-02-12-T-002-S-00009,2015-02-12-T-002,9,Josephine Teo,"<strong style=""background-color  transparent; color  rgb(0, 0, 0);"">(for the Minister for Transport)</strong>"
2015-02-12-T-002-S-00010,2015-02-12-T-002,10,Josephine Teo,"My Ministry and CAAS, together with other Government Ministries and agencies, have started a review of the regulatory framework. The review will address how we can facilitate the increasing usage of unmanned aircraft while managing the associated safety and security concerns. We are assessing the feasibility of differentiated levels of oversight for different uses. We are also studying if there is a need to register unmanned aircraft systems and specifying where such systems can or cannot operate. We will be consulting the relevant stakeholders in the coming months."
