speech_id,topic_id,speech_order,member_name,text
2018-05-18-T-001-S-00001,2018-05-18-T-001,1,Kok Heng Leun,Question No 1.
2018-05-18-T-001-S-00002,2018-05-18-T-001,2,Lawrence Wong,"Mr Speaker, Sir, to meet the needs of Singaporeans such as housing, transport, healthcare or education, it is not uncommon for multiple development projects to be taking place across our island at any one time."
2018-05-18-T-001-S-00003,2018-05-18-T-001,3,Lawrence Wong,"When assessing development projects before construction is allowed to proceed, agencies take into account the impact of construction arising from that particular project on the people, the existing buildings and infrastructure, and the environment in the surrounding area. In addition, agencies consider the impact of other construction works taking place at the same time in the area."
2018-05-18-T-001-S-00004,2018-05-18-T-001,4,Lawrence Wong,"To minimise potential noise disamenities from construction works, NEA imposes noise limits on construction sites under the Environmental Protection and Management Act. Mitigating measures such as shielding noise sources, using quieter equipment and cleaner construction methods, monitoring vibration levels, and restricting the duration of noisy activities are implemented, where necessary."
2018-05-18-T-001-S-00005,2018-05-18-T-001,5,Lawrence Wong,"For large-scale projects, LTA also requires developers to conduct a Transport Impact Assessment to identify the potential impact of construction on traffic flows and propose mitigation measures, where necessary."
2018-05-18-T-001-S-00006,2018-05-18-T-001,6,Lawrence Wong,"Enforcement action will be taken against developers who violate regulatory requirements, and a ""stop work order"" may be imposed on repeat offenders."
2018-05-18-T-002-S-00007,2018-05-18-T-002,7,,To ask the Minister for Social and Family Development (a) what is the current total number of professionals (teachers/social workers) who are in the special needs sector; (b) what training and professional development programmes are available for the professionals in this sector; and (c) what are the support structures in place to ensure that these professionals do not suffer from burnout or are able to cope with the stresses of the job.
2018-05-18-T-002-S-00008,2018-05-18-T-002,8,Louis Ng Kok Kwang,"Question No 2, Sir."
2018-05-18-T-002-S-00009,2018-05-18-T-002,9,Dr Muhammad Faishal Ibrahim,"There are about 1,900 professionals working in the Early Intervention Programme for Infants and Children (EIPIC) and in Special Education (SPED) Schools today. This include teachers, social workers, psychologists and therapists."
2018-05-18-T-002-S-00010,2018-05-18-T-002,10,Dr Muhammad Faishal Ibrahim,"These professionals play a key role in the development of special needs children, and we support them in several ways. Professionals working in the special needs sector must hold the relevant degrees or diplomas in their fields of practice. To complement this, the Social Service Institute (SSI) and the National Institute of Education (NIE) provide professionals in the disability sector with continuing education and training (CET) programmes. These range from broad-based courses to targeted ones focusing on the skills and knowledge required to work with special needs clients. For example, teachers working with children with Autism Spectrum Disorder (ASD) can take up targeted courses that build specialised knowledge in autism. There are also courses that equip professionals with skills to cope with the demands of their work, such as mindfulness and self-care practices."
2018-05-18-T-002-S-00011,2018-05-18-T-002,11,Dr Muhammad Faishal Ibrahim,"These courses are subsidised by the Government, through grants such as the Local Training Grant from the VWOs-Charities Fund. To further upgrade themselves, in-service professionals can also apply for professional development sponsorships, such as the MOE Scholarship for SPED teachers and SkillsFuture Study Awards. Promising social workers and EI teachers taking up managerial and leadership positions can also apply for the Professional Development and Management Programme and the Leadership Development Programme, which fund leadership, management, and other skills-based training."
2018-05-18-T-002-S-00012,2018-05-18-T-002,12,Dr Muhammad Faishal Ibrahim,"Second, we also help professionals learn from each other’s experiences and expertise through practice networks. NCSS organises annual sessions for social workers and psychologists in SPED schools to share resources and best practices. SPED schools have also put in place Professional Learning Teams (PLTs) where teachers and other professionals can discuss how to improve teaching practices."
2018-05-18-T-002-S-00013,2018-05-18-T-002,13,Dr Muhammad Faishal Ibrahim,"Third, we have put in place measures to help social service professionals cope with the challenges of their jobs. Aside from self-care courses run by the SSI, NCSS also introduced the Sabbatical Leave Scheme in 2008 to help reduce burnout in professionals. Through this scheme, social service professionals nominated by their organisations receive funding from NCSS that provides them with 10 weeks of paid leave to recharge and refresh themselves, as well as sponsorship for professional development courses. To date, about 170 professionals have benefitted from this scheme."
2018-05-18-T-002-S-00014,2018-05-18-T-002,14,Dr Muhammad Faishal Ibrahim,"Mentoring and on-the-job coaching by senior practitioners also help to alleviate burnout by equipping younger teachers and social workers with skills and strategies to build up their confidence and resilience. For example, SPED schools have mentoring and coaching programmes for teachers, and ensure that teachers have access to counselling services and enjoy protected time during school holidays. Some EIPIC centres have also structured the work week such that teachers have a one-day reprieve from direct intervention, to work on back-room administrative tasks such as programme planning."
2018-05-18-T-002-S-00015,2018-05-18-T-002,15,Dr Muhammad Faishal Ibrahim,"To complement these targeted efforts, NCSS has also been working with VWOs to improve their human resource management capabilities, to ensure that all our professionals are well-deployed and cared for, as they give their best to help those in need."
2018-05-18-T-002-S-00016,2018-05-18-T-002,16,Speaker,Mr Dennis Tan.
2018-05-18-T-002-S-00017,2018-05-18-T-002,17,Dennis Tan Lip Fong,"Mr Speaker, I have just one supplementary question. Does the Government envisage that there is a need to increase the number of professionals working in the special needs sector; and if so, what are the plans in the next five years?"
