speech_id,topic_id,speech_order,member_name,text
2021-11-01-T-001-S-00001,2021-11-01-T-001,1,Tan Wu Meng,asked the Minister for Health (a) whether the Ministry is aware of any employers in the healthcare sector which at any time in the past three years have specified or indicated to their employees that their taking of medical leave may affect performance assessments or bonuses; (b) what is the Ministry’s assessment of such practices given the COVID-19 pandemic; and (c) what recourse is available to workers who encounter such practices.
2021-11-01-T-001-S-00002,2021-11-01-T-001,2,Poh Li San,"asked the Minister for Health with regard to the discharge of COVID-19 positive patients who required oxygen supplementation or were warded in intensive care units in August and September 2021, what is the proportion of such patients who (i) have fully recovered and (ii) suffer from long-term health consequences, with the breakdown according to patients who were unvaccinated and partially vaccinated or fully vaccinated respectively."
2021-11-01-T-001-S-00003,2021-11-01-T-001,3,Jessica Tan Soon Neo,asked the Minister for Health what further measures are required to reduce the number of serious cases and deaths from COVID-19.
2021-11-01-T-001-S-00004,2021-11-01-T-001,4,Lim Biow Chuan,asked the Minister for Health (a) what is the reason for the increased number of deaths due to COVID-19 over the last two months; and (b) what more can be done to reduce deaths among both vaccinated and unvaccinated residents.
2021-11-01-T-001-S-00005,2021-11-01-T-001,5,Shahira Abdullah,asked the Minister for Health what percentage of vaccinated patients who died from COVID-19 have underlying conditions which are actually well-controlled.
2021-11-01-T-001-S-00006,2021-11-01-T-001,6,Melvin Yong Yik Chye,asked the Minister for Health (a) what is the percentage of staff in our public healthcare facilities who will not be able to clear their accumulated annual leave for 2021; (b) whether this is a significant increase as compared to 2020 and 2019; and (c) whether there are plans to help frontline healthcare workers take a break from the prolonged fight against COVID-19.
2021-11-01-T-001-S-00007,2021-11-01-T-001,7,Sharael Taha,asked the Minister for Health (a) what are the main underlying conditions that resulted in the COVID-19 fatalities; and (b) whether individuals with underlying conditions are monitored and treated separately when they are infected.
2021-11-01-T-001-S-00008,2021-11-01-T-001,8,He Ting Ru,asked the Minister for Health (a) how many days of leave have been taken by hospital healthcare and allied staff each month since January 2020; (b) what steps will be taken to minimise and reduce leave being cancelled for such staff due to capacity issues; and (c) whether there can be mandated mental well-being off days for healthcare staff such as that announced by Tan Tock Seng Hospital recently.
2021-11-01-T-001-S-00009,2021-11-01-T-001,9,Yip Hon Weng,asked the Minister for Health in light of recent reports about manpower crunch in healthcare due to increase in COVID-19 cases (a) whether he can provide an update on the current healthcare manpower crunch; (b) what is being done to protect healthcare workers' physical and psychological well-being; and (c) what are the plans to provide relief to healthcare workers if the current situation is prolonged.
2021-11-01-T-001-S-00010,2021-11-01-T-001,10,Mariam Jaafar,"asked the Minister for Health whether the Ministry tracks the average number of hours worked monthly by nurses in public hospitals (excluding those who are required to self-isolate) and, if so, what is the data for the past month."
2021-11-01-T-001-S-00011,2021-11-01-T-001,11,Janil Puthucheary,"Mr Speaker, may I have your permission to answer Question Nos 1 to 10 as part of a Ministerial Statement delivered on behalf of the Minister for Health later in this Sitting?"
2021-11-01-T-001-S-00012,2021-11-01-T-001,12,Speaker,Please do.
2021-11-01-T-001-S-00013,2021-11-01-T-001,13,Janil Puthucheary,"Thank you, Sir."
2021-11-01-T-002-S-00014,2021-11-01-T-002,14,Liang Eng Hwa,asked the Minister for Trade and Industry (a) what is the current state of the retail electricity market; (b) what are the reasons why iSwitch Energy decided to exit the energy retail business; (c) what will be the impact to consumers and businesses; and (d) how can electricity be kept affordable for households and businesses.
2021-11-01-T-002-S-00015,2021-11-01-T-002,15,Poh Li San,"asked the Minister for Trade and Industry (a) what is the impact of the energy supply crunch in China and India on electricity prices in Singapore; (b) what are the Energy Market Authority’s strategies to cushion the impact of the international energy supply crunch on the stability of energy supply and electricity prices in Singapore; and (c) whether additional assistance will be given to low-income families to cope with the rise in electricity prices from 1 October 2021, if such rates increase were to continue beyond 31 December 2021."
2021-11-01-T-002-S-00016,2021-11-01-T-002,16,Murali Pillai,asked the Minister for Trade and Industry following the recent collapse of several electricity retailers (a) what is the Ministry’s assessment of the business viability of the remaining electricity retailers; and (b) what steps will the Ministry take to maintain a competitive electricity market in Singapore.
2021-11-01-T-002-S-00017,2021-11-01-T-002,17,Edward Chia Bing Hui,asked the Minister for Trade and Industry given the recent pull out of iSwitch Energy from the open electricity market (a) what is the Ministry’s current risk assessment of more retailers exiting the market due to the increases in the price of gas; (b) whether the current recourse options for consumers are sufficient and satisfactory should more retailers exit; (c) whether the Ministry is considering a longer notice period for retailers when they choose to exit the market so that consumers are better safeguarded; and (d) what are the critical success factors to ensure the continued success of Singapore’s open energy market.
2021-11-01-T-002-S-00018,2021-11-01-T-002,18,Vikram Nair,asked the Minister for Trade and Industry whether any steps will be taken to prevent or make it more difficult for electricity retailers to avoid their obligations to customers by withdrawing when the energy markets move against them.
2021-11-01-T-002-S-00019,2021-11-01-T-002,19,Ng Ling Ling,asked the Minister for Trade and Industry (a) whether electricity retailers are required to report their financial status regularly; (b) whether the Ministry monitors their financial health to ensure operational viability; (c) whether there will be a review on the number of energy retail licences needed to sustain the open electricity market; and (d) what are the plans when Singapore’s long-term piped gas contracts with Indonesia start expiring beyond 2023.
2021-11-01-T-002-S-00020,2021-11-01-T-002,20,Jessica Tan Soon Neo,asked the Minister for Trade and Industry with the recent rise in electricity prices and the exit of two electricity retailers (a) whether there will be support for consumers especially lower-income households given the increase in reliance on digital and work-from-home arrangements; and (b) what measures are in place to ensure that Singapore’s power supply remain stable and reliable.
2021-11-01-T-002-S-00021,2021-11-01-T-002,21,Sylvia Lim,"asked the Minister for Trade and Industry (a) what are the causes of the sharp fluctuation in the spot prices of electricity since July 2021; and (b) based on the experience since inception of the Open Electricity Market (OEM) to date, what is the Ministry's assessment of the continued viability of the OEM for households."
2021-11-01-T-002-S-00022,2021-11-01-T-002,22,Joan Pereira,asked the Minister for Trade and Industry regarding the exit of some suppliers from the retail electricity market (a) what assistance will be provided to affected households and companies which will face unexpectedly higher tariff rates; and (b) whether the SP Group can honour the rates for which affected customers had contracted with the electricity retailers.
