speech_id,topic_id,speech_order,member_name,text
2020-04-06-T-001-S-00001,2020-04-06-T-001,1,Speaker,"Hon Members, our fathers lived through years of deprivation and suffering during the Second World War. But they emerged hardened and determined to throw off the shackles of not only the Japanese, but also of British colonial rule. From these tribulations began the journey to Independence, to build a new and sovereign home we call Singapore."
2020-04-06-T-001-S-00002,2020-04-06-T-001,2,Speaker,"Through the years, we have faced numerous setbacks and grave challenges. We have weathered them all and have emerged stronger."
2020-04-06-T-001-S-00003,2020-04-06-T-001,3,Speaker,COVID-19 will be a challenge like no other we have experienced in our lifetime and possibly in the short 55 years as a nation. COVID-19 will define our generation.
2020-04-06-T-001-S-00004,2020-04-06-T-001,4,Speaker,"Years from now, people will ask, where were you? What did you do? Did we hoard – again? Did we reach out to someone in need? Did we rail against the inconvenience of staying at home? Did we gather at malls and clubs for one last party? Or did we hunker down and make the most of it to contribute and comfort where we could online? Work out new solutions. Learn and stay curious. Or just to spend more time with our family and loved ones."
2020-04-06-T-001-S-00005,2020-04-06-T-001,5,Speaker,"Did we rise to the call to be, really, one united people? Did we gripe and be gripped by fear, or did we choose to learn and grow as a person? As a people."
2020-04-06-T-001-S-00006,2020-04-06-T-001,6,Speaker,What new journeys will these tribulations set us on?
2020-04-06-T-001-S-00007,2020-04-06-T-001,7,Speaker,"Will COVID-19 make us a better and stronger Singapore? Or is this that pivotal moment, where we begin to be relegated to be a footnote in history?"
2020-04-06-T-001-S-00008,2020-04-06-T-001,8,Speaker,"All of us here are balancing at this very point. In the space of one and a half months, we are meeting again to discuss yet another Budget. It is upon us Parliamentarians to lead in this critical time both within this Chamber, and outside in our community. We must robustly debate and properly pass the laws and any supplementary funds the Government requires to act in protecting our fellow Singaporeans. It is therefore essential that Parliament Sittings continue."
2020-04-06-T-001-S-00009,2020-04-06-T-001,9,Speaker,"We are sitting during extraordinary times. We are also sitting physically farther apart from one another than ever before, literally rising to the occasion, all the way up the rafters in the public galleries. But we must remember that even as we safe-distance ourselves, we need to be nationally closer, to be of one heart and one mind in dealing with the challenges at hand."
2020-04-06-T-001-S-00010,2020-04-06-T-001,10,Speaker,"We also need to be socially closer to our citizens, to hear and speak their voices here, to provide them comfort, hope and confidence."
