Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2014-03-12-T-001,,,[(proc text) Order read for consideration in Committee of Supply [6th Allotted Day]. (proc text)],1,1,2014-03-12-T-001-S-00001
2014-03-12-T-002,,,"[(proc text) Resumption of Debate on Question [11 March 2014], (proc text)]",1,2,2014-03-12-T-002-S-00002
2014-03-12-T-002,,,"[(proc text) ""That the total sum to be allocated for Head X of the Estimates be reduced by $100."" – [Mr Baey Yam Keng]. (proc text)]",2,3,2014-03-12-T-002-S-00003
2014-03-12-T-002,,,[(proc text) Question again proposed. (proc text)],3,4,2014-03-12-T-002-S-00004
2014-03-12-T-002,Muhamad Faisal Bin Abdul Manap,Mr Muhamad Faisal Bin Abdul Manap (Aljunied),"Madam, since 2011, the Government has set out to foster social cohesion and to build an inclusive society through the Budget. While an inclusive society means different things to different people, it is important to know that the fundamental tenet of an inclusive society is a tolerant and respectful embrace of the cultural values that each community in Singapore holds dear. In the context of the new normal in Singapore's society, Singaporeans are increasingly more vocal and want their views to be heard. I believe that in fostering multiculturalism, public dialogue and constant consultations are the way forward.",1,5,2014-03-12-T-002-S-00005
2014-03-12-T-002,Muhamad Faisal Bin Abdul Manap,Mr Muhamad Faisal Bin Abdul Manap (Aljunied),"In the case of the recent hijab issue, to the best of my understanding, the dialogue that was conducted with the representatives of the Malay community was more of a platform for the Government to convey its stance rather than a dialogue. This is because the Government has already come to the decision of not allowing hijab to be worn prior to the dialogue session instead of making a decision at or after the session.",2,6,2014-03-12-T-002-S-00006
2014-03-12-T-002,Muhamad Faisal Bin Abdul Manap,Mr Muhamad Faisal Bin Abdul Manap (Aljunied),"I am of the view that the Government should enhance not only the manner in which it communicates but also its attitude when forming the communications. At the same time, consultation with one community alone is inadequate, as it may lead to hasty conclusions and unnecessary assumptions. The more constructive approach would be public consultations conducted with different stakeholders and the different ethnic communities.",3,7,2014-03-12-T-002-S-00007
2014-03-12-T-002,Muhamad Faisal Bin Abdul Manap,Mr Muhamad Faisal Bin Abdul Manap (Aljunied),"Singaporeans from the different ethnic communities understand that the final policy outcomes may not go according to their preferences. Nonetheless, it is hoped that the Government should also understand that the process is equally important to them. It is the responsibility of any government not to overtly impose its assumptions on any issue, particularly on sensitive and emotional issues. Rather, it should base its understanding on scientific findings and in the event that such information is not available, commission a study on the matter.",4,8,2014-03-12-T-002-S-00008
2014-03-12-T-002,Muhamad Faisal Bin Abdul Manap,Mr Muhamad Faisal Bin Abdul Manap (Aljunied),"The Government should also make available information that it has. Public engagement and consultations that adopt a more transparent, forthright and comprehensive approach will allow us to better understand the issues at large, the context and the nuances behind each issue.",5,9,2014-03-12-T-002-S-00009
2014-03-12-T-002,Muhamad Faisal Bin Abdul Manap,Mr Muhamad Faisal Bin Abdul Manap (Aljunied),"I hope the Minister would agree with me that such an approach would bring us closer to a consensus that is workable, productive and acceptable by the various stakeholders involved. That should be the way forward towards an inclusive society and a multicultural Singapore.",6,10,2014-03-12-T-002-S-00010
