Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2014-02-18-T-001,Lim Wee Kiak,Dr Lim Wee Kiak,asked the Minister for Foreign Affairs what is the Government's position on reports that the Indonesian Navy has named one of its new warships after the two Indonesian marines who were convicted and executed for the bombing of MacDonald House in Singapore in 1965 which killed three persons and wounded at least 33 others.,1,1,2014-02-18-T-001-S-00001
2014-02-18-T-001,K Shanmugam,The Minister for Foreign Affairs (Mr K Shanmugam),"Mdm Speaker, with your permission, I will take Question No 1 and then Minister for Defence will take Question No 2, and then we could answer the hon Members' questions.",1,2,2014-02-18-T-001-S-00002
2014-02-18-T-001,Speaker,Mdm Speaker,"Yes, please.",1,3,2014-02-18-T-001-S-00003
2014-02-18-T-001,K Shanmugam,Mr K Shanmugam,"Thank you. Mdm Speaker, the hon Members want to know the position taken by Singapore and by Indonesia on this matter over the last two weeks. We have taken a principled stand. We have expressed our concerns directly and clearly to the Indonesian government. We have heard their response. I recently spoke at some length to the Singapore media about why we feel this way and why we take the position we are taking. Allow me to briefly set out the main points.",1,4,2014-02-18-T-001-S-00004
2014-02-18-T-001,K Shanmugam,Mr K Shanmugam,"We were surprised and disturbed to learn that the Indonesian Navy was naming a warship after the two marines, Usman and Harun. I was, in fact, in Jakarta when the news came out in the media, and spoke immediately to the Indonesian Foreign Minister Marty Natalegawa to convey our concerns.",2,5,2014-02-18-T-001-S-00005
2014-02-18-T-001,K Shanmugam,Mr K Shanmugam,"Deputy Prime Minister Teo Chee Hean and Defence Minister Ng Eng Hen also called and spoke to their Indonesian counterparts. We respectfully requested that Indonesia takes our concerns into account and reconsiders its decision to name the warship Usman Harun. Later, we followed up with a Third Person Note (TPN), which is a formal diplomatic note, to the Indonesian government to register our regret.",3,6,2014-02-18-T-001-S-00006
2014-02-18-T-001,K Shanmugam,Mr K Shanmugam,"We asked Indonesia to undertake constructive steps to minimise the damage to our relationship. In particular, we noted that both countries had considered the episode closed in May 1973 when then Prime Minister Lee Kuan Yew visited Indonesia and scattered flowers on the graves of the two marines. That was a gesture to close a painful chapter in bilateral relationships. The naming of the ship now reopens this issue.",4,7,2014-02-18-T-001-S-00007
2014-02-18-T-001,K Shanmugam,Mr K Shanmugam,"Why are we concerned about the naming of the warship? We have to look at what happened in 1965 and what it meant then; and what does the naming of the warship mean to us now. The facts of the MacDonald House bombing are not in dispute. The two Indonesian marines, Usman and Harun, in civilian disguise, planted a bomb in MacDonald House. It was part of a campaign of terror targeted at civilians. This action was quite contrary to international law. The two marines had committed a serious crime. They were tried in the Courts in a fair trial. Their appeal went all the way up to the Privy Council in London and they were found guilty and hanged in 1968.",5,8,2014-02-18-T-001-S-00008
2014-02-18-T-001,K Shanmugam,Mr K Shanmugam,"Not many remember that Usman and Harun were not the only Indonesian saboteurs whom we arrested during the Konfrontasi. Two other marines, Stanislaus Krofan and Andres Andea, were caught and sentenced to death for the crime of carrying a bomb which exploded. Indonesia also appealed for their release. We pardoned them, because there were no deaths. In total, 45 Indonesian saboteurs were released and returned to Indonesia. But we could not pardon Usman and Harun because their crime was very serious and civilians had been killed and injured.",6,9,2014-02-18-T-001-S-00009
2014-02-18-T-001,K Shanmugam,Mr K Shanmugam,"Not pardoning Usman and Harun was a defining moment for Singapore. Had we agreed to release them, it would have set the precedent for our relationships with all bigger countries. That precedent would be that we will – or we should – do what a bigger country asks and pressures us to do, even when we have been grievously hurt. That is a different concept of sovereignty that is not good for us and which we cannot accept.",7,10,2014-02-18-T-001-S-00010
