Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2012-10-15-T-001,Zaqy Mohamad,Mr Zaqy Mohamad,–,1,1,2012-10-15-T-001-S-00001
2012-10-15-T-001,Zaqy Mohamad,Mr Zaqy Mohamad,1 To ask the Minister for National Development (a) what is the Ministry's assessment of the HDB Resale Price Index reaching a record level of 197.9 in the third quarter of 2012 in spite of cooling measures and new releases of BTO flats; (b) whether the cooling measures are effective in managing property prices and curbing property speculation; and (c) what are the Ministry's plans to assure the public that HDB and private properties will continue to remain affordable to Singapore citizens and that the Ministry has a good handle on the property market.,2,2,2012-10-15-T-001-S-00002
2012-10-15-T-001,Foo Mee Har,Ms Foo Mee Har,"asked  the Minister for National Development in view of the recent record property transactions, including a $1 million Queenstown flat, whether the anticipated fresh flood of liquidity into the US financial system with QE3 announced by the US Federal Reserve will have an impact on property prices and affordability.",1,3,2012-10-15-T-001-S-00003
2012-10-15-T-001,Foo Mee Har,Ms Foo Mee Har,Page  798,2,4,2012-10-15-T-001-S-00004
2012-10-15-T-001,Alex Yam,Mr Alex Yam (Chua Chu Kang),Question No 1.,1,5,2012-10-15-T-001-S-00005
2012-10-15-T-001,Khaw Boon Wan,The Minister for National Development (Mr Khaw Boon Wan),"Mr Speaker, with your permission, I will take Question Nos 1 and 2 together. Ample global liquidity and low interest rates in recent years have contributed significantly to the strong demand for residential property, exerting upward pressure on property prices. To restore market equilibrium, the Government has put in place a number of demand management and supply measures.",1,6,2012-10-15-T-001-S-00006
2012-10-15-T-001,Khaw Boon Wan,The Minister for National Development (Mr Khaw Boon Wan),"Both the private property and HDB resale markets have shown signs of stabilising. For private property, growth in prices has moderated significantly from 18% in 2010, to 6% in 2011, and to 0.9% in the first three quarters of this year. Yearly Resale Price Index (RPI) growth has also come down from 14.1% in 2010, to 10.7% last year and to 3.9% in the first three quarters of this year. Ms Foo Mee Har cited the case of the Queenstown flat which was sold for $1 million. From time to time, there will be some buyers who are prepared to pay way above market valuation as determined by professional valuers. This is an executive flat, measuring 150 square metres at Level 16. So, this is not your typical HDB flat. In some HDB towns, there will be some such units with unique characteristics which buyers are willing to pay way above valuation.",2,7,2012-10-15-T-001-S-00007
2012-10-15-T-001,Khaw Boon Wan,The Minister for National Development (Mr Khaw Boon Wan),"Nonetheless, we have seen an uptick in RPI in the third quarter of 2012 based on the flash estimates of 2% growth from second quarter of this year. So, while things are improving, we are not yet out of the woods. With the recent announcements of further monetary expansion in both the US and the Eurozone, we expect the current low interest rate environment to persist. This will continue to contribute to the strong demand for residential property, which could cause prices to rise beyond sustainable levels.",3,8,2012-10-15-T-001-S-00008
2012-10-15-T-001,Khaw Boon Wan,The Minister for National Development (Mr Khaw Boon Wan),Page  799,4,9,2012-10-15-T-001-S-00009
2012-10-15-T-001,Khaw Boon Wan,The Minister for National Development (Mr Khaw Boon Wan),"As these monetary conditions worldwide are far from normal, MAS has announced new curbs on loan tenures to encourage greater financial prudence among property purchasers in both the public and private housing markets. This is a calibrated step to prevent excessive speculation.",5,10,2012-10-15-T-001-S-00010
2012-10-15-T-001,Khaw Boon Wan,The Minister for National Development (Mr Khaw Boon Wan),"There is also a significant supply of housing – both public and private – that will come onto the market over the next couple of years. In particular, HDB has ramped up its BTO supply significantly and we will keep up the pace of new flat supply into next year. This will enable us to provide more options to suit individual housing needs and budgets. We remain ready to act, if and when necessary.",6,11,2012-10-15-T-001-S-00011
