speech_id,topic_id,speech_order,member_name,text
2022-11-28-T-001-S-00001,2022-11-28-T-001,1,Speaker,Questions for oral answer.
2022-11-28-T-001-S-00002,2022-11-28-T-001,2,Leong Mun Wai,"Point of Order, Sir."
2022-11-28-T-001-S-00003,2022-11-28-T-001,3,Speaker,"Yes, Mr Leong."
2022-11-28-T-001-S-00004,2022-11-28-T-001,4,Leong Mun Wai,"Speaker, Sir, can I know the reasons why the eight Questions on our sovereign fund was put almost towards the end of the question queue today? Which means, the questions will not be answered orally today, probably."
2022-11-28-T-001-S-00005,2022-11-28-T-001,5,Speaker,"Mr Leong, I believe the Leader has spoken to the Leader of the Opposition. Members of Parliament (MPs) have filed questions about the FTX situation  some are for oral answer today, while some are up for oral answer tomorrow. I have discussed this with the Leader of the House. Given the volume of business for this Sitting, we will be sitting until Wednesday, 30 November 2022. I think it is best that all the FTX questions be answered holistically by the Government on Wednesday. This will allow other Parliamentary Questions (PQs) to be cleared and I will allocate sufficient time on Wednesday for the FTX PQs and supplementary questions to be answered fully."
2022-11-28-T-001-S-00006,2022-11-28-T-001,6,Speaker,I suggest that Members who do not receive an oral answer to the FTX questions today or tomorrow postpone the questions to Wednesday.
2022-11-28-T-001-S-00007,2022-11-28-T-001,7,Leong Mun Wai,"Thank you, Speaker."
2022-11-28-T-002-S-00008,2022-11-28-T-002,8,Ang Wei Neng,asked the Prime Minister whether the Public Service Division will be considering a one-time wage adjustment for all civil servants to offset the anticipated high core inflation rate in 2022.
2022-11-28-T-002-S-00009,2022-11-28-T-002,9,Chan Chun Sing,"Mr Speaker, Sir, the Civil Service periodically reviews salaries and adjusts them when necessary to keep pace with, but not lead, the market. The recent salary adjustments for various groups of civil servants were determined based on salary gaps with market benchmarks. Beyond these adjustments, eligible officers also receive Annual Variable Component (AVC) payments and annual salary increments that take into consideration their performance, prevailing economic and labour market conditions and the National Wages Council’s recommendations on progressive wage growth."
2022-11-28-T-002-S-00010,2022-11-28-T-002,10,Chan Chun Sing,"In total, the salary increases arising from the recent salary reviews and annual salary increments, coupled with annual AVC payments, will more than exceed the inflation rate seen this year for all the civil servants who meet the criteria."
2022-11-28-T-002-S-00011,2022-11-28-T-002,11,Chan Chun Sing,"The Government has also rolled out a series of support measures this year, such as the recently announced Cost-of-Living Special Payment and additional CDC Vouchers. These support measures together will help to cushion the impact of sharp inflation changes and provide further relief for Singaporean households, with more support for lower- to middle-income groups."
2022-11-28-T-002-S-00012,2022-11-28-T-002,12,Speaker,Mr Ang.
2022-11-28-T-002-S-00013,2022-11-28-T-002,13,Ang Wei Neng,"Thank you, Speaker. I thank the Minister for the comprehensive reply. Can I just clarify one point? Minister was saying that with the recent adjustments in the civil service pay, every civil servant will get at least more than 5.1% of the salary increment because the core inflation rate in October is 5.1%? At the same time, we notice that there is a report in The Straits Times to say that about 68% of the employees were thinking of changing jobs if their pay is not increased more than the inflation rate."
2022-11-28-T-002-S-00014,2022-11-28-T-002,14,Ang Wei Neng,"The second supplementary question is  if that is so, that the Government is keeping the increment to more than 5.1% or inflation rate, would it encourage the rest of the Singapore companies to do the same as far as possible?"
