speech_id,topic_id,speech_order,member_name,text
2023-10-03-T-001-S-00001,2023-10-03-T-001,1,Zhulkarnain Abdul Rahim,"asked the Minister for Home Affairs how is the MAS working with the relevant agencies to prevent movable assets like gemstones, jewellery and luxury watches from being used to launder money in Singapore."
2023-10-03-T-001-S-00002,2023-10-03-T-001,2,Zhulkarnain Abdul Rahim,"asked the Minister for Home Affairs regarding the estimated value of about $1 billion dollars in assets seized in the recent case of money laundering activities (a) what are the measures to ensure that the restrictions under the relevant rules, such as the Precious Stones and Precious Metals (Prevention of Money Laundering and Terrorism Financing) Act 2019, are not circumvented; and (b) whether there will be tighter controls through importers, retailers and our checkpoints over movable assets like gemstones, jewellery and luxury watches into Singapore."
2023-10-03-T-001-S-00003,2023-10-03-T-001,3,Murali Pillai,"asked the Minister for Home Affairs whether the 10 foreigners who have been charged by the Police on 16 August 2023 for money-laundering activities in relation to the S$1 billion cash and assets seized are being or will be investigated for running any organised crime syndicate in or from Singapore and, if so, what facts have been established thus far in this regard."
2023-10-03-T-001-S-00004,2023-10-03-T-001,4,Murali Pillai,"asked the Minister for Home Affairs (a) whether there is a reporting requirement on landlords to lodge Suspicious Transaction Reports against their tenants if they have reasonable grounds to suspect that their tenants have access to ill-gotten wealth or gains; and (b) if so, whether the landlords of the private properties where foreign nationals holding passports of convenience were found to be residing when arrested by the Singapore Police on 15 August 2023 for suspected money-laundering related activities will be scrutinised for compliance with this requirement."
2023-10-03-T-001-S-00005,2023-10-03-T-001,5,Murali Pillai,"asked the Minister for Home Affairs (a) whether any additional steps will be taken to protect the real estate market in Singapore from being targeted by money launderers; and (b) if so, what are they."
2023-10-03-T-001-S-00006,2023-10-03-T-001,6,Gan Thiam Poh,asked the Minister for Home Affairs whether the Police will initiate investigations and arrest any person who is on the wanted list for criminal offences in another country but not listed under the wanted list of the International Criminal Police Organisation (INTERPOL).
2023-10-03-T-001-S-00007,2023-10-03-T-001,7,Don Wee,"asked the Minister for Home Affairs whether MAS shares information obtained from suspicious financial transactions with banks, the Immigration Checkpoint Authority of Singapore and the Ministry of Manpower."
2023-10-03-T-001-S-00008,2023-10-03-T-001,8,Don Wee,"asked the Minister for Home Affairs whether information obtained from Suspicious Transaction Reports is shared with banks, the Immigration Checkpoint Authority of Singapore and the Ministry of Manpower."
2023-10-03-T-001-S-00009,2023-10-03-T-001,9,Zhulkarnain Abdul Rahim,"asked the Minister for Home Affairs in cases where seized assets are ordered by the court to be forfeited to the state, how are such assets used or liquidated for the benefit of the public or the Consolidated Fund."
2023-10-03-T-001-S-00010,2023-10-03-T-001,10,Don Wee,"asked the Minister for Home Affairs (a) whether ACRA pays attention or conduct surveillance on (i) foreign directors (ii) beneficial owners and (iii) local directors appearing to be nominee directors, where such appointment can be an indication of the misuse of legal entity; and (b) whether there is any public-private partnership between ACRA, CAD or MAS and the banks to share intelligence on emerging risks such as alerts or placement on undesirable lists."
2023-10-03-T-001-S-00011,2023-10-03-T-001,11,Saktiandi Supaat,"asked the Minister for Home Affairs (a) how many business entities are currently registered with ACRA as ""dormant"" or any other status that indicates that they are not trading; (b) what is the number of such companies for each of the last 10 years; (c) how often does ACRA check on the reason why such companies remain registered despite being inactive; and (d) whether there is a need to step up active enforcement so that Singapore-registered companies are not misused for money laundering or illegal activities."
2023-10-03-T-001-S-00012,2023-10-03-T-001,12,Derrick Goh,asked the Minister for Home Affairs (a) how Singapore compares to other global financial centres in terms of preventing and detecting anti-money laundering activities; and (b) whether the roll-out of the Collaborative Sharing of Money Laundering/Terrorism Financing (ML/TF) Information and Cases (COSMIC) digital platform will be accelerated and also extended to other industries to detect such illicit transactions across local industries beyond financial institutions.
2023-10-03-T-001-S-00013,2023-10-03-T-001,13,Sun Xueling,"Mr Speaker, may I seek your permission to take Question Nos 1 to 12 together?"
2023-10-03-T-001-S-00014,2023-10-03-T-001,14,Speaker,"<span style=""color  rgb(51, 51, 51);"">  Yes, go ahead.</span>   Yes, go ahead."
2023-10-03-T-001-S-00015,2023-10-03-T-001,15,Sun Xueling,"These queries relate to the recent anti-money laundering operations conducted by the Police and Singapore's anti-money laundering framework. Mr Speaker, with your permission, the Ministry of Home Affairs, together with various other Ministries, will respond to the queries comprehensively in the Ministerial Statement that will be delivered later today."
2023-10-03-T-002-S-00016,2023-10-03-T-002,16,Yip Hon Weng,"asked the Minister for Transport (a) whether deferring public transport fare increments to future years remains sustainable, given the anticipated continued rise in cost of living in Singapore; (b) whether the Ministry has mandated any measures to be taken by public transport operators to streamline processes and reduce expenses in order to mitigate rising costs; and (c) if so, what are these measures."
2023-10-03-T-002-S-00017,2023-10-03-T-002,17,Chua Kheng Wee Louis,asked the Minister for Transport whether the Public Transport Council plans to expunge the 15.6% fare increase deferred for future Fare Review Exercises (FREs) after a 7% increase having been granted in 2023.
2023-10-03-T-002-S-00018,2023-10-03-T-002,18,Mariam Jaafar,"asked the Minister for Transport (a) what is the mean and median monthly spend on public transport in the past 12 months by (i) persons with disabilities (PWDs) and (ii) seniors who use public transport; and (b) whether the Ministry will consider introducing hybrid monthly concession passes for PWDs and seniors to be made available in different denominations for light, moderate and heavy users."
2023-10-03-T-002-S-00019,2023-10-03-T-002,19,Chee Hong Tat,"Mr Speaker, may I have your permission to take Question Nos 13 to 15 together?"
2023-10-03-T-002-S-00020,2023-10-03-T-002,20,Speaker,"Yes, please proceed."
2023-10-03-T-002-S-00021,2023-10-03-T-002,21,Chee Hong Tat,"Thank you, Mr Speaker. Sir, my reply will also address Written Question No 14 by Mr Louis Chua for today's Sitting and related questions from Mr Gerald Giam"
2023-10-03-T-002-S-00022,2023-10-03-T-002,22,Chee Hong Tat,"Sir, in setting public transport fares, the Public Transport Council (PTC) is guided by the fare formula and aims to keep fares affordable for commuters, while ensuring that our public transport system remains financially sustainable."
2023-10-03-T-002-S-00023,2023-10-03-T-002,23,Chee Hong Tat,"The fare formula reflects the general cost drivers of providing public transport services, based on macroeconomic factors such as core inflation, national wage growth and energy prices. It provides for fares to be adjusted in tandem with changes in these cost drivers, rather than changes in operators' actual costs. In this way, the operators cannot assume that their cost increases will be matched by correspondingly higher fares. Hence, they need to be disciplined in managing their costs and improving their productivity over time."
2023-10-03-T-002-S-00024,2023-10-03-T-002,24,Chee Hong Tat,"This approach also applies to wage costs. In setting fares, the PTC does not focus on the actual salaries paid by the operators. The formula is based on the national wage index. This allows operators to keep public transport sector salaries competitive with the rest of the economy, so that they are able to attract and retain their workers. Wage increases that exceed changes in the national wage index will not be covered by the fare formula. Over the past five years, the wages of public transport workers grew at a similar pace as the national wage index."
2023-10-03-T-002-S-00025,2023-10-03-T-002,25,Chee Hong Tat,"The fare formula also includes a Productivity Contribution, which reduces the allowable fare adjustment by 0.1 percentage points every year. This further incentivises the operators to look for continuous productivity improvements to reduce their costs. For example, the operators have been using joint tenders to achieve economies of scale, automating their maintenance processes and upskilling their workers to improve productivity."
2023-10-03-T-002-S-00026,2023-10-03-T-002,26,Chee Hong Tat,"The fare formula therefore avoids operators' costs from being directly passed on to commuters, while allowing commuters to benefit from productivity savings from the operators."
2023-10-03-T-002-S-00027,2023-10-03-T-002,27,Chee Hong Tat,"Guided by the formula, the PTC exercises judgement on how much of the allowable fare adjustment to implement each year, taking into consideration economic and social factors. For example, the PTC looks at affordability as measured by the estimated proportion of household income spent on public transport. For the lower-income, this proportion has fallen from 3.1% in 2013 to 2.4% in 2022. For average public transport users, the figure has also reduced from 2.2% in 2013 to 1.7% in 2022."
