speech_id,topic_id,speech_order,member_name,text
2013-03-14-T-001-S-00001,2013-03-14-T-001,1,,[(proc text) Order read for consideration in Committee of Supply [6th Allotted Day]. (proc text)]
2013-03-14-T-002-S-00002,2013-03-14-T-002,2,,"[(proc text) Resumption of Debate on Question [13 March 2013], (proc text)]"
2013-03-14-T-002-S-00003,2013-03-14-T-002,3,,"[(proc text) ""That the total sum to be allocated for Head I of the Estimates be reduced by $100"". – [Mr Seah Kian Peng]. (proc text)]"
2013-03-14-T-002-S-00004,2013-03-14-T-002,4,,[(proc text) Question again proposed. (proc text)]
2013-03-14-T-002-S-00005,2013-03-14-T-002,5,Penny Low,"Madam, to say that Singapore is in a social recession and needs a social reset – meaning the need to shut down and restart – is simply denying the efforts and progress Singaporeans have made since the Hock Lee Bus Riots and 1960s race riots. This is tantamount to throwing the baby out with the bathwater."
2013-03-14-T-002-S-00006,2013-03-14-T-002,6,Penny Low,"The fact is, today, we live in a peaceful society with a much stronger social fabric that cares. The NVPC Giving Survey 2012 noted increased volunteerism and philanthropy. Last year, 300 volunteers stepped up for social good during the annual SIP Global Social Innovators Forum and Festival. Two weeks ago, a group of Hong Kong social enterprises (SEs) remarked to me that Singapore SEs are passion first, then business. In Hong Kong, it is the reverse. So, let us not disparage the efforts of ordinary Singaporeans to pitch in."
2013-03-14-T-002-S-00007,2013-03-14-T-002,7,Penny Low,"However, as in my previous Budget speeches, there are areas of social deficits from changing demographics; to social capital; to uplifting the marginalised. I have long lobbied that solutions being from within the community via SEs is the most dignified way forward."
2013-03-14-T-002-S-00008,2013-03-14-T-002,8,Penny Low,"Can the Minister, first, give an update and outline the growth plan for this sector? Two, think big and set up a social enterprise collaboration park where SEs can meet, inspire and collaborate with each other? Three, consider a more suitable legal entity and tax policy that recognises the social benefits that SEs deliver? Four, consider a social value weight in its goods and services procurement policy, for example, corporate gifts and such? Like all businesses, demand is the lifeblood of SEs."
2013-03-14-T-002-S-00009,2013-03-14-T-002,9,Penny Low,"In conclusion, it is hard enough to do well, it is even harder to do good. So, when there are people who want to do well and do good, I would want to help them and be their facilitator. Where the human spirit meets social concerns; meets business opportunities, we should support them wholeheartedly for an inclusive society."
2013-03-14-T-002-S-00010,2013-03-14-T-002,10,Chan Chun Sing,"Mdm Chairperson, let me first thank all Members who have spoken up and shared their ideas and suggestions for a better Singapore – a more caring and inclusive Singapore."
2013-03-14-T-002-S-00011,2013-03-14-T-002,11,Chan Chun Sing,"When we talk about Singapore, I think we all understand, and we all accept, that we are not just talking about economics. We also want a better Singapore in terms of our social cohesion. Economics and social cohesion are not mutually exclusive, but mutually reinforcing."
2013-03-14-T-002-S-00012,2013-03-14-T-002,12,Chan Chun Sing,"We are a young nation, barely 50 years old. Over the last 50-odd years, we have been fortunate to have strong economic growth. It has bought us time to build our social cohesion and our sense of national identity. We hope that this sense of social cohesion and national identity will carry us through in the coming years where our economic growth may be slower and our resources may be less plentiful. But regardless of how fast or how slow we grow, we hope that all Singaporeans will join our hands and join our hearts together, to care for those who are less fortunate amongst us."
2013-03-14-T-002-S-00013,2013-03-14-T-002,13,Chan Chun Sing,"Our ability to share is not a function of economic growth, nor GDP. Much has been spoken about the Happiness Index in the past year. I hope we do not quantify more things, to try to make ourselves happy. I also hope that we do not try to quantify the intangibles that really bring meaning to life. Instead, I hope happiness can be defined not by just what we have, but by what we can share."
2013-03-14-T-002-S-00014,2013-03-14-T-002,14,Chan Chun Sing,"Last year, during the Committee of Supply (COS), I shared with Members of this House the three fundamental beliefs of MSF – Hope, Heart and Home. This has not changed. Hope is about our ability to give a helping hand to those who are less fortunate amongst us. Sometimes, it is through no fault of theirs because life has thrown them a tough lot. We have to see how we can take care of them. Hope is about why this Government will continue to invest much more on the development of our children. Because as we have all said, we may be poor in this generation but we must do our best to give hope to the next, so that our children, and their future generation will have the best chance to move forward in life and identify themselves with this land where we call our home."
2013-03-14-T-002-S-00015,2013-03-14-T-002,15,Chan Chun Sing,"Heart is about caring for the needy, the vulnerable, and the disadvantaged. There will always be some amongst us who will be needy, who will be disadvantaged and who will be vulnerable. It is incumbent upon us – those of us who are more successful – to try to reach out to these people. That perhaps is key to our happiness as individuals, as a community and as a country."
2013-03-14-T-002-S-00016,2013-03-14-T-002,16,Chan Chun Sing,"Our home, our family, is the bedrock of our society's success. Our family is the source of our hope, our source of comfort when we are down. Our family is our anchor to our lives' direction. Our family also provides purpose for all our efforts in all that we do in our busy lives. So, I hope that all of us in this House and beyond will share with MSF this simple message  that we must continue to build on the Hope, Heart and Home theme for ourselves."
