speech_id,topic_id,speech_order,member_name,text
2014-10-07-T-001-S-00001,2014-10-07-T-001,1,,1 the Deputy Prime Minister and Minister for Home Affairs what steps has the Government taken to secure our borders and prevent the unauthorised entry of people and goods into Singapore following the incident where three foreigners entered Singapore illegally in August 2014 via the Raffles Marina.
2014-10-07-T-001-S-00002,2014-10-07-T-001,2,Ang Hin Kee,"Question No 1, Madam."
2014-10-07-T-001-S-00003,2014-10-07-T-001,3,Teo Chee Hean,"Mdm Speaker, on 19 August 2014, a private boat carrying three foreigners arrived at Raffles Marina outside the operating hours for its Customs, Immigration and Quarantine (CIQ) clearance. Two of the persons then disembarked from the boat and entered Singapore illegally, while the boatman sailed the boat away. The two who disembarked in Singapore were arrested on the same day, while the boatman was arrested the following day when the private boat re-entered Singapore waters."
2014-10-07-T-001-S-00004,2014-10-07-T-001,4,Teo Chee Hean,"Before I describe the maritime security situation at sea and how we secure our maritime borders, perhaps, I should make some general comments about our borders as a whole."
2014-10-07-T-001-S-00005,2014-10-07-T-001,5,Teo Chee Hean,"Our land, aviation and sea domains have quite different characteristics. The land and aviation domains are areas where we can funnel and control the movement of persons entering or departing Singapore via a very small number of immigration checkpoints at the airport, Woodlands and Tuas. This arises because we are an island."
2014-10-07-T-001-S-00006,2014-10-07-T-001,6,Teo Chee Hean,"And also because we are an island, the maritime domain is far more complex. Our coastline is 197 km long, and the distance between our international boundary and the shoreline is short, in some places less than 500 m, compared to the length of our shoreline. Along the shoreline, there are 180 wharves and jetties. Many of these wharves and jetties are within private premises, such as shipyards and marinas. The volume of sea traffic is also high and they fall into multiple categories."
2014-10-07-T-001-S-00007,2014-10-07-T-001,7,Teo Chee Hean,"In 2013 alone, about 140,000 foreign vessels called into Singapore ranging from large passenger and cargo vessels, to small pleasure, trading and fishing craft. Apart from that, Singapore vessels also travel within our own waters departing and calling at various of our own landing places. These vessels do not require CIQ clearance but they are traversing through the same waters as the foreign vessels which come into Singapore."
2014-10-07-T-001-S-00008,2014-10-07-T-001,8,Teo Chee Hean,"Foreign vessels are also permitted under international law to pass through our territorial waters on transit or innocent passage, without CIQ clearance, when they do not call into Singapore. Hence, there are also foreign vessels in transit; sometimes, passing through the same waters, but because they do not call into Singapore, they do not require CIQ clearance. This large number and variety of vessels within and across our waters pose a daily challenge for our maritime agencies."
2014-10-07-T-001-S-00009,2014-10-07-T-001,9,Teo Chee Hean,"To keep the sea borders secure, our maritime security agencies, comprising the Republic of Singapore Navy (RSN), Maritime and Port Authority of Singapore (MPA), Police Coast Guard (PCG) and ICA, have adopted a coordinated and multi-layered security regime which we have been improving and tightening over the years. The RSN and PCG patrol our waters to detect and intercept unauthorised vessels. They make use of radars and optical devices to carry out surveillance of our waters. The PCG also conducts joint operations with ICA regularly to check on vessels for illegal activities or persons."
2014-10-07-T-001-S-00010,2014-10-07-T-001,10,Teo Chee Hean,"Where feasible, we have put up physical structures to deter illegal landings at vulnerable areas. For example, there are currently 63 km of land- and sea-based physical barriers, such as fencing and floating sea barriers, around our shores and PCG has plans to erect another 80 km of such barriers over time. These will cover 143 km of our 197 km of coastline deterring and preventing illegal entry and channelling vessels. This allows our security agencies to focus their attention on areas and vessels that are more likely to pose a threat. Such barriers and fences are not practical in places where sea traffic actually calls into Singapore at wharves, jetties and other landing places. These security measures have proven to be generally successful."
