Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2021-01-05-T-001,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye,"asked the Minister for Social and Family Development arising from the Study on the Inter-generational Effects of Divorce on Children in Singapore (a) whether there were significant differences in the outcomes of the children based on the age of the child when the parents got divorced; and (b) what are the Ministry’s next steps in further examining the issue of a ""divorce penalty"" on our children and studying the efficacy of our interventions to reduce the effect of this penalty.",1,1,2021-01-05-T-001-S-00001
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"Mr Speaker, Sir, divorce is never easy but some couples have had to make such a decision. Raising children poses its own challenges, and divorced parents, just like any other parent, want the best for their children and try their best to raise their children well.",1,2,2021-01-05-T-001-S-00002
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"The MSF study on the inter-generational effects of divorce covered more than 100,000 children and of these, about 8,800 of them were children whose parents divorced when they were below 21 years old. The study did not attempt to determine causality, that is, it did not seek to determine if the divorce itself caused certain outcomes in children.",2,3,2021-01-05-T-001-S-00003
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"Rather, the study examined the children’s outcomes in the following five areas and its co-occurrence with parental divorce  one, whether they obtained a university degree; two, their annual income, three, their balances in CPF MediSave and Special Accounts; four, whether they got married; and five, whether they divorced among those who got married.",3,4,2021-01-05-T-001-S-00004
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),There was no clear finding suggesting a relationship between the child’s age when the parents divorced and the child’s outcomes at age 35. MSF will continue to look deeper into various aspects of divorce so as to understand the factors that are associated with positive or negative child outcomes post-divorce.,4,5,2021-01-05-T-001-S-00005
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"The study findings show a significant negative association between parental divorce and children outcomes based on the five factors analysed. In other words, in general, children whose parents were divorced were more likely to not fare as well as those whose parents remained married based on the five factors analysed. But it is not a deterministic cause and effect relationship. In fact, the findings also indicated that amongst children whose parents were divorced, there were some who did as well and even better than many children whose parents remained married.",5,6,2021-01-05-T-001-S-00006
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"Hence, in cases of parental divorce, it is important to focus more efforts on early intervention for the children, not only to mitigate the potential negative effects but also to enhance their positive development. This intervention effort should be based on rigorous evidence from the social and behavioural sciences, and for it to work we will need good policies and the help from experts but also the support from families, communities and indeed a whole-of-society approach.",6,7,2021-01-05-T-001-S-00007
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"Today, couples who are undergoing divorce go through parenting programmes. Under the Women’s Charter, those who cannot agree on the divorce or its ancillary matters must attend a mandatory parenting programme before they can file for divorce. For those who agree on the divorce and its ancillary matters, they can go for the Parenting PACT programme after the divorce is concluded. Muslim couples considering divorce attend the Syariah Court’s mandatory Marriage Counselling Programme, as well as parenting programmes as part of the divorce process. All these initiatives for civil as well as Muslim divorces aim to raise parents’ awareness of their children’s needs and the importance of co-parenting in a respectful and collaborative manner. We will continually review both the process and the content of these initiatives to enhance their efficacy.",7,8,2021-01-05-T-001-S-00008
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"For couples experiencing marital stress or contemplating divorce, we have started a new online counselling pilot with the Community Psychology Hub in April 2020. Couples or their children can also alternatively approach any of our six Divorce Support Specialist Agencies (DSSAs) if they require counselling support. We will also be introducing a new pre-divorce online portal in late 2021. In this regard, MSF has just completed an engagement session with more than 120 citizens, many of whom were divorcees. I thank them for stepping forward as it is not easy for them. They have given us valuable inputs on how we can better provide information that parents need to consider when contemplating divorce, ranging from the emotional well-being of their children to bread and butter issues that impact their children, particularly housing and financial stability. MCCY will also be conducting a similar engagement with a focus on Muslim divorce issues.",8,9,2021-01-05-T-001-S-00009
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"MSF provides an evidence-based programme for parents and children between six and 15 years of age. This programme is called “Children in Between” and is run by counsellors from the DSSAs. It equips children with skills to manage their feelings and develop resilience. Although there are about 6,500 children a year whose parents get divorced, only about 100 children attend “Children in Between”. We are looking into how we can encourage more divorced parents to enrol themselves and their children for this important programme.",9,10,2021-01-05-T-001-S-00010
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"Our schools and Institutes of Higher Learning (IHLs) provide support to all students who are facing personal challenges. I encourage parents who would like such support for their children to approach the network of teachers, counsellors and Education and Career Guidance counsellors. I also encourage the older students, especially those who are teenagers, to seek help from this extensive network. If you are facing issues arising from your parents’ divorce, you need not handle it on your own. Please turn to this network of care and support.",10,11,2021-01-05-T-001-S-00011
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"Earlier, I mentioned that we had engaged more than 120 citizens on the pre-divorce support portal, and that many of them were divorcees. While they appreciated what we were trying to do, many strongly urged us to also try to save marriages. Indeed, it is as important, if not more, that we increase our upstream efforts to strengthen marriages.",11,12,2021-01-05-T-001-S-00012
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"We will also step up our efforts to encourage couples to undergo marriage preparation programmes such as the evidence-based Prevention and Relationship Education Programme (PREP) workshops run by our Social Service Agencies, which equips them with the skills to build a strong foundation for marriage. MSF offers a rebate of $140 for the PREP workshop, or $70 for other approved programmes conducted by Social Service Agencies. For Muslim couples, we provide Cinta Abadi marriage preparation programme which is now offered online to make it even more accessible.",12,13,2021-01-05-T-001-S-00013
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"Solemnisers can also play an important role to support newlyweds. A group of Kadis/Naib Kadis from the Registry of Muslim Marriages initiated the ground-up effort, Bersamamu or “With You”, to inspire strong and stable marriages. The Bersamamu has two components namely, face-to-face (F2F) interaction with soon to-wed couples and the Kadis/Naib Kadis remain connected with the newlyweds for up to two years after their solemnisation. Since Bersamamu started in July 2019, about 6,000 couples have attended the F2F Bersamamu with their Kadis/Naib Kadis. We will be engaging solemnisers from ROM and hope that we can find champions among them who would develop similar initiatives.",13,14,2021-01-05-T-001-S-00014
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"Since March 2019, we have trained 215 community leaders, religious and lay leaders as well as marriage solemnisers as Marital First Responders (MFRs). They will provide basic marriage support to couples facing marital issues, especially in its early stages before matters turn for the worse. We will continue to train more MFRs to support more couples in need. We are also working with social service agencies, community and religious organisations to offer more marriage enrichment programmes so that couples can nurture and deepen their relationships through life’s ups and downs, and find fulfilment in their marriage.",14,15,2021-01-05-T-001-S-00015
2021-01-05-T-001,Sun Xueling,The Minister of State for Social and Family Development (Ms Sun Xueling) (for the Minister for Social and Family Development),"We will continually review and examine the efficacy of our interventions to mitigate post-divorce issues as well as to strengthen marriages, in order to improve children’s outcomes for all families.",15,16,2021-01-05-T-001-S-00016
2021-01-05-T-001,Speaker,Mr Speaker,Mr Melvin Yong.,1,17,2021-01-05-T-001-S-00017
2021-01-05-T-001,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Thank you, Mr Speaker. I thank the Minister of State for her reply. Divorce can be messy affairs and the children in these cases often suffer the consequences. Just last night, I had two divorce-related conflict cases at my Meet-the-People Session (MPS).",1,18,2021-01-05-T-001-S-00018
2021-01-05-T-001,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Our children need stability and security to grow into healthy adults and experts have said that it is important for divorced parents to remain amicable and be able to effectively co-parent, in order to mitigate what the experts term as ""divorce penalty"".",2,19,2021-01-05-T-001-S-00019
2021-01-05-T-001,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"I would like to ask the Minister of State, on average, how many percent of divorce cases are high-conflict cases, where the parents are unable to co-parent well; and whether MSF's social workers are able to step in earlier to help the children in such divorce cases, rather than having to wait until the Court orders a supervised exchange and visitation programme?",3,20,2021-01-05-T-001-S-00020
