Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2023-08-02-T-001,,The Clerk of Parliament,"For the record, I have to inform hon Members that on 17 July 2023, Mr Tan Chuan-Jin resigned from his office as the Speaker of Parliament and from his seat in Parliament for the electoral division of Marine Parade.",1,1,2023-08-02-T-001-S-00001
2023-08-02-T-001,,The Clerk of Parliament,Deputy Speaker Christopher de Souza acknowledged receipt of Mr Tan Chuan-Jin’s letter of resignation addressed to him and informed the Clerk at 11.56 am on 17 July 2023. Hon Members were notified of the resignation of Mr Tan Chuan-Jin by the Clerk of Parliament on the same day.,2,2,2023-08-02-T-001-S-00002
2023-08-02-T-001,,The Clerk of Parliament,"In accordance with Article 46(2)(c) of the Constitution, the seat of Mr Tan Chuan-Jin as a Member became vacant on 17 July 2023. In accordance with Article 40(4)(b), the office of the Speaker also became vacant on the same day. Hon Members shall now elect a person to fill that office.",3,3,2023-08-02-T-001-S-00003
2023-08-02-T-001,,The Clerk of Parliament,Election of Speaker.,4,4,2023-08-02-T-001-S-00004
2023-08-02-T-002,,,"[(proc text) At 11.00 am, the Serjeant-at-Arms laid the Mace below the Table. (proc text)]",1,5,2023-08-02-T-002-S-00005
2023-08-02-T-002,Indranee Rajah,The Leader of the House (Ms Indranee Rajah),"[(proc text) stood up, and addressing herself to the Clerk of Parliament said (proc text)]  Clerk of Parliament, I propose that Mr Seah Kian Peng do take the Chair of this Parliament as Speaker.",1,6,2023-08-02-T-002-S-00006
2023-08-02-T-002,Denise Phua Lay Peng,Ms Denise Phua Lay Peng (Jalan Besar),"Clerk of Parliament, I support the proposal.",1,7,2023-08-02-T-002-S-00007
2023-08-02-T-002,Denise Phua Lay Peng,Ms Denise Phua Lay Peng (Jalan Besar),"[(proc text) There being only one proposal, the Clerk then declared Mr Seah Kian Peng to have been duly elected as Speaker of this Parliament. (proc text)]",2,8,2023-08-02-T-002-S-00008
2023-08-02-T-002,Denise Phua Lay Peng,Ms Denise Phua Lay Peng (Jalan Besar),[(proc text) Mr Speaker went to the Chair and sat down. (proc text)],3,9,2023-08-02-T-002-S-00009
2023-08-02-T-002,Denise Phua Lay Peng,Ms Denise Phua Lay Peng (Jalan Besar),"[(proc text) Then, the Mace (which before laid below the Table) was placed on the Table. (proc text)]",4,10,2023-08-02-T-002-S-00010
2023-08-02-T-003,Indranee Rajah,The Leader of the House (Ms Indranee Rajah),"Mr Speaker, Sir, on behalf of the House, may I extend warm congratulations to you on your election as the eleventh Speaker of Parliament.",1,11,2023-08-02-T-003-S-00011
2023-08-02-T-003,Indranee Rajah,The Leader of the House (Ms Indranee Rajah),"Sir, you bring a wealth of experience to the Chair. You have served as a Member of Parliament (MP) for Marine Parade GRC since 2006, and since that time you have given voice to the aspirations and concerns of your residents and Singaporeans in this House. As a Labour MP, you have been a strong advocate for the Labour Movement. You have made many contributions in Parliament over the last 16 years, including",2,12,2023-08-02-T-003-S-00012
2023-08-02-T-003,Indranee Rajah,The Leader of the House (Ms Indranee Rajah),"(a) twice successfully moving a Private Member’s Bill to amend the Maintenance of Parents Act, the first time in 2010 and the second, just last month at the July Sitting. Both times, you led the review workgroup, and consulted extensively with members of the public and various stakeholders;",3,13,2023-08-02-T-003-S-00013
2023-08-02-T-003,Indranee Rajah,The Leader of the House (Ms Indranee Rajah),"(b)	serving as Chairperson of two Government Parliamentary Committees (GPCs) – first for Community, Youth and Sports, and second, more recently, for Social and Family Development, though that ends today with your election as Speaker.",4,14,2023-08-02-T-003-S-00014
2023-08-02-T-003,Indranee Rajah,The Leader of the House (Ms Indranee Rajah),"You have also served in various Committees of Parliament, including as Chair of the Estimates Committee, and as a member of the Committee of Privileges and the Standing Orders Committee.",5,15,2023-08-02-T-003-S-00015
2023-08-02-T-003,Indranee Rajah,The Leader of the House (Ms Indranee Rajah),"More importantly, Sir, you are no stranger to the Speaker’s Chair, having previously served as Deputy Speaker from 2011 to 2016. This is especially pertinent because you are taking the Chair at a time when, having regard to recent events and the circumstances in which the Speaker’s seat became vacant, it is imperative to ensure that MPs and Singaporeans alike can continue to have trust and confidence in the office of the Speaker, and be assured that the duties and functions of the Speaker will be carried out firmly, fairly and impartially.",6,16,2023-08-02-T-003-S-00016
2023-08-02-T-003,Indranee Rajah,The Leader of the House (Ms Indranee Rajah),"In this, I am encouraged by your response to the media at the time your nomination was announced, when you said that your intention was to know your role well and discharge your duties responsibly and fairly.",7,17,2023-08-02-T-003-S-00017
2023-08-02-T-003,Indranee Rajah,The Leader of the House (Ms Indranee Rajah),"I understand that for now you will continue to work at NTUC Enterprise while serving as Speaker. However, I also understand that you are making plans to step down from your current job at NTUC Enterprise which is expected to be within this year. In the meantime, you will be making the necessary adjustments, to enable you to carry out your duties as Speaker properly and fully.",8,18,2023-08-02-T-003-S-00018
2023-08-02-T-003,Indranee Rajah,The Leader of the House (Ms Indranee Rajah),"With the Speaker’s seat filled, we can once again focus our attention on the pressing issues that are at the top of people’s minds and push ahead with the Government’s agenda for the remainder of this term of Parliament.",9,19,2023-08-02-T-003-S-00019
2023-08-02-T-003,Indranee Rajah,The Leader of the House (Ms Indranee Rajah),"Sir, before I conclude, may I also take this opportunity to welcome the new cohort of Nominated Members of Parliament (NMPs) to this House. Among them is Mr Raj Joshua Thomas, who is, of course, already known to us. This will be his second term as an NMP. The eight new NMPs are  Ms Usha Chandradas, Mr Keith Chua, Mr Mark Lee, Mr Ong Hua Han, Mr Neil Parekh Nimil Rajnikant, Assoc Prof Razwana Begum Abdul Rahim, Ms See Jinli Jean, and Dr Syed Harun Alhabsyi.",10,20,2023-08-02-T-003-S-00020
2023-08-02-T-003,Indranee Rajah,The Leader of the House (Ms Indranee Rajah),"To our NMPs, a warm welcome and we look forward to your participation in Parliament.",11,21,2023-08-02-T-003-S-00021
2023-08-02-T-003,Indranee Rajah,The Leader of the House (Ms Indranee Rajah),"Mr Speaker, Sir, congratulations once again on your election and our best wishes as you take up the chairmanship of proceedings in this House.",12,22,2023-08-02-T-003-S-00022
2023-08-02-T-003,Speaker,Mr Speaker,"Hon Members, I would like to thank the Leader of the House, Ms Indranee Rajah, and hon Member Ms Denise Phua for proposing and seconding my nomination as the Speaker of the House. I thank the Leader of the House for her kind words of support and encouragement.",1,23,2023-08-02-T-003-S-00023
2023-08-02-T-003,Speaker,Mr Speaker,"I deeply appreciate the support of all Members here, for my election as the 11th Speaker of Parliament since our first Legislative Assembly. I am honoured by your trust and confidence, and it is a privilege that I take seriously.",2,24,2023-08-02-T-003-S-00024
2023-08-02-T-003,Speaker,Mr Speaker,"I would like to thank members of the public, especially my residents, who showed their support when the announcement of my nomination was made almost 12 days ago. Your encouragement has bolstered my confidence and determination to carry out my duties as Speaker of Parliament effectively.",3,25,2023-08-02-T-003-S-00025
2023-08-02-T-003,Speaker,Mr Speaker,"I know that some of my residents are concerned about my ability to raise issues affecting ordinary Singaporeans while serving as the Speaker. The paradox in Parliament is that the Speaker himself or herself often does not speak. But in this, as in so much of my public service over the past decades, action must do in place of words.",4,26,2023-08-02-T-003-S-00026
2023-08-02-T-003,Speaker,Mr Speaker,"Although my role requires me to abstain from participating in debates, I want to assure my residents that I will continue to advocate their concerns and express my views on matters impacting the lives of Singaporeans and their family through alternative channels.",5,27,2023-08-02-T-003-S-00027
2023-08-02-T-003,Speaker,Mr Speaker,"Allow me to say a few words about my predecessor, Mr Tan Chuan-Jin. I have known Chuan-Jin since 2011 when he joined the Marine Parade Group Representation Constituency (GRC) team. He was a good colleague and had served his residents well.",6,28,2023-08-02-T-003-S-00028
2023-08-02-T-003,Speaker,Mr Speaker,"During his time as Speaker, he made commendable efforts to demystify the work of parliamentary process and enhance public awareness of Parliament through social media engagement and dialogues with the younger generation, and in turn, fostering a better understanding of this important institution among Singaporeans.",7,29,2023-08-02-T-003-S-00029
2023-08-02-T-003,Speaker,Mr Speaker,"Hon Members, I am fully aware of the weight of this responsibility, and I pledge to discharge my duties impartially, firmly and fairly, ensuring the orderly conduct of parliamentary business. We all share a common goal – that is, to serve the people of Singapore, and I am committed to giving my best to achieve it.",8,30,2023-08-02-T-003-S-00030
2023-08-02-T-003,Speaker,Mr Speaker,"In my first Parliamentary session in 2006, the Speaker then was Mr Abdullah Tarmugi, who was unanimously elected. Rising to speak on the occasion, Mr Low Thia Khiang reminded the Speaker of the need for fairness. He said  “Sir, you have been re-elected again and I believe that in your past years as Speaker of the House, your eyesight has been trained to be as sharp as a razor and to be swift as lightning, and I think we can all expect that whoever wishes to speak will catch your eye.”",9,31,2023-08-02-T-003-S-00031
2023-08-02-T-003,Speaker,Mr Speaker,"So, my first point is this  I wish to assure Members on both sides of the House that I intend for my eyes to be easily caught too!",10,32,2023-08-02-T-003-S-00032
2023-08-02-T-003,Speaker,Mr Speaker,"Second, I want to recall what the then Leader of the House, Mr Wong Kan Seng, said in that 2006 session. He reminded MPs that our role comes with a great responsibility. And he said, I quote  “We are elected by the people to represent their interest and we must perform our duties with a high standard of honesty and integrity. We must never abuse the privileges accorded to us as Members and must be worthy of the House which we are elected to.”",11,33,2023-08-02-T-003-S-00033
2023-08-02-T-003,Speaker,Mr Speaker,"In the performance of our duty, I want to place on record today, our thanks and best wishes to fellow Members Mr Liang Eng Hwa and Mr Faisal Manap, who are both on the road to recovery. This is a reminder to Members of our own mortality and fragility.",12,34,2023-08-02-T-003-S-00034
2023-08-02-T-003,Speaker,Mr Speaker,"We are all too human – and as recent events have reminded us, our weaknesses are not only physical but also spiritual and moral. I say this not to join with the chorus of sanctimony but to reflect, first on the need for us all to be vigilant in our personal conduct and choices, vigilant with ourselves first of all, but also with our colleagues. To hold one another to account, not to fear to tell truth to power, nor be slow to listen to hard truths.",13,35,2023-08-02-T-003-S-00035
2023-08-02-T-003,Speaker,Mr Speaker,"I say this to point to the rules and codes of conduct which govern us all, as members of the highest rule making body in the land, and equally, as members of political parties.",14,36,2023-08-02-T-003-S-00036
2023-08-02-T-003,Speaker,Mr Speaker,"This is a reminder that even though we, as individual humans, may fail, these rules and institutions – which apply without exception – do not.",15,37,2023-08-02-T-003-S-00037
2023-08-02-T-003,Speaker,Mr Speaker,"And so, onto my last point. I started my speech by recalling the first parliamentary session which I attended as an MP and what the Speaker at that time said. I must confess that I actually did not remember any of it – and had to look it up in the Hansard!",16,38,2023-08-02-T-003-S-00038
2023-08-02-T-003,Speaker,Mr Speaker,"So, that is the last thing I wanted to remind Members – that you and I are here for a day, for a fleeting number of terms, but our words here, and our work here, live on far beyond us. We must therefore remember and bear the weight of our office with dignity and a constant sense of duty.",17,39,2023-08-02-T-003-S-00039
2023-08-02-T-003,Speaker,Mr Speaker,"Today, we are seeing the latest batch of Nominated MPs taking their Oath of Allegiance; we have 85 Parliamentary Questions for Oral Answer. There is a Ministerial Statement, two Bills for Second Reading and one Motion to follow. Our work is certainly complicated as it is important. We need to do this work, knowing we are all too human; and therefore, we must self-exceed and surpass ourselves in order to meet the standards of a Parliamentarian.",18,40,2023-08-02-T-003-S-00040
2023-08-02-T-003,Speaker,Mr Speaker,"It is this that I urge us all, Members of the House, to turn to our paramount duty – to serve the people of Singapore.",19,41,2023-08-02-T-003-S-00041
2023-08-02-T-003,Speaker,Mr Speaker,"I look forward with cautious optimism that, even during spirited debates, you, the hon Members, will maintain the highest standards of decorum and conduct that are fitting for this esteemed House.",20,42,2023-08-02-T-003-S-00042
2023-08-02-T-003,Speaker,Mr Speaker,"By all means, debate and speak with passion and conviction, but let us all ensure we keep to and uphold the rules that we had all signed up to when we became Parliamentarians in this House. This applies to elected MPs, NCMPs and NMPs. I ask all of you to also help me to help you and our Parliament achieve this.",21,43,2023-08-02-T-003-S-00043
2023-08-02-T-003,Speaker,Mr Speaker,"On this note, I express my deepest gratitude to all of you for your trust and support. Thank you, hon Members. [Applause.]",22,44,2023-08-02-T-003-S-00044
2023-08-02-T-004,Speaker,Mr Speaker,"Order. Pursuant to the Constitution of the Republic of Singapore, the Special Select Committee nominated the following nine persons to the President for appointment as Nominated Members of Parliament",1,45,2023-08-02-T-004-S-00045
2023-08-02-T-004,Speaker,Mr Speaker,Ms Chandradas Usha Ranee,2,46,2023-08-02-T-004-S-00046
2023-08-02-T-004,Speaker,Mr Speaker,Mr Keith Chua Tiang Choon,3,47,2023-08-02-T-004-S-00047
2023-08-02-T-004,Speaker,Mr Speaker,Mr Mark Lee Kean Phi,4,48,2023-08-02-T-004-S-00048
2023-08-02-T-004,Speaker,Mr Speaker,Mr Ong Hua Han,5,49,2023-08-02-T-004-S-00049
2023-08-02-T-004,Speaker,Mr Speaker,Mr Parekh Nimil Rajnikant,6,50,2023-08-02-T-004-S-00050
2023-08-02-T-004,Speaker,Mr Speaker,Mr Raj Joshua Thomas,7,51,2023-08-02-T-004-S-00051
2023-08-02-T-004,Speaker,Mr Speaker,Assoc Prof Razwana Begum Bt Abdul Rahim,8,52,2023-08-02-T-004-S-00052
2023-08-02-T-004,Speaker,Mr Speaker,Ms See Jinli,9,53,2023-08-02-T-004-S-00053
2023-08-02-T-004,Speaker,Mr Speaker,Dr Syed Harun Bin Taha Alhabsyi,10,54,2023-08-02-T-004-S-00054
2023-08-02-T-004,Speaker,Mr Speaker,"On 24 July 2023, President Halimah Yacob, by Instruments of Appointment dated on the same day, appointed the nine Members as Nominated Members for a term of two and a half years, with effect from 24 July 2023.",11,55,2023-08-02-T-004-S-00055
2023-08-02-T-004,Speaker,Mr Speaker,The Nominated Members are present today to take their seats. They will now take their oaths of allegiance and affirmations.,12,56,2023-08-02-T-004-S-00056
2023-08-02-T-005,,,"[(proc text) The following Members took and subscribed the Oath of Allegiance, or made Affirmation of Allegiance, in the order below  (proc text)]",1,57,2023-08-02-T-005-S-00057
2023-08-02-T-005,,,Ms Chandradas Usha Ranee,2,58,2023-08-02-T-005-S-00058
2023-08-02-T-005,,,Mr Keith Chua Tiang Choon,3,59,2023-08-02-T-005-S-00059
2023-08-02-T-005,,,Mr Mark Lee Kean Phi,4,60,2023-08-02-T-005-S-00060
2023-08-02-T-005,,,Mr Ong Hua Han,5,61,2023-08-02-T-005-S-00061
