Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2020-03-04-T-001,Anthea Ong,Ms Anthea Ong,"asked the Minister for Culture, Community and Youth (a) what lessons are learnt from the recent exit of UN Women from Singapore after 20 years of operations; (b) whether it is timely to review the 80 20 fundraising rule for charities given the global and interconnected nature of issues confronting societies; and (c) what efforts are being made to promote regional and international philanthropy",1,1,2020-03-04-T-001-S-00001
2020-03-04-T-001,Grace Fu Hai Yien,"The Minister for Culture, Community and Youth (Ms Grace Fu Hai Yien)","Mr Speaker,  the closure of the local chapter of UN Women is an internal decision by the board and members of the society.",1,2,2020-03-04-T-001-S-00002
2020-03-04-T-001,Grace Fu Hai Yien,"The Minister for Culture, Community and Youth (Ms Grace Fu Hai Yien)","The 80 20 fund-raising rule under the Charities Act, requires at least 80% of funds raised for foreign charitable purposes be applied towards charitable purposes in Singapore. This is to ensure that donations from our Singapore public are used primarily to benefit locals and to address local needs. The Commissioner of Charities can and does waive this 80 20 rule on a case-by-case basis, such as for fund-raising for immediate disaster relief in other countries.",2,3,2020-03-04-T-001-S-00003
2020-03-04-T-001,Grace Fu Hai Yien,"The Minister for Culture, Community and Youth (Ms Grace Fu Hai Yien)","Ms Ong is right that globalisation and connectivity ties the fortunes of countries together, and many solutions to global issues require collective action from all countries. The Government, through the Economic Development Board, engages and develops a robust eco-system of Non-Profit Organisations (NPOs), including international organisations dedicated to philanthropy. This includes organisations such as the Asia Venture Philanthropy Network (AVPN) and the Asia Philanthropy Circle (APC) – which use Singapore as a venue to convene, share best practices and form partnerships to address global issues.",3,4,2020-03-04-T-001-S-00004
2020-03-04-T-001,Grace Fu Hai Yien,"The Minister for Culture, Community and Youth (Ms Grace Fu Hai Yien)","To support cross-border giving, the International Involvement Hub (I2Hub) was launched in 2013. Comprising the Singapore Institute of International Affairs (SIIA), the Singapore International Foundation (SIF), the Singapore Red Cross Society (SRCS) and family of Temasek Foundations (TF), it provides opportunities for the Singapore community to contribute towards and participate in social, relief and community development initiatives in communities outside Singapore.",4,5,2020-03-04-T-001-S-00005
2020-03-04-T-001,Speaker,Mr Speaker,Ms Ong.,1,6,2020-03-04-T-001-S-00006
2020-03-04-T-001,Anthea Ong,Ms Anthea Ong (Nominated Member),"Thank you, Speaker. I thank the Minister for her comprehensive response. I should also declare that I was formerly a board member of UN Women when it was known as UNIFEM. May I know from the Minister if she thinks we should also look into supporting some of the local charities and non-profits that could be ready to go overseas so that we can develop deeper skills and also expand SG Cares' vision beyond our shores?",1,7,2020-03-04-T-001-S-00007
2020-03-04-T-001,Grace Fu Hai Yien,Ms Grace Fu Hai Yien,"I would like to thank the Member for the supplementary question. I would like to commend her for always being passionate about championing social causes. Indeed, SG Cares wants to develop that as a movement so that Singaporeans feel that they are engaged and involved in issues confronting Singapore.",1,8,2020-03-04-T-001-S-00008
2020-03-04-T-001,Grace Fu Hai Yien,Ms Grace Fu Hai Yien,"As to whether we will like to see our local charities moving offshore, we do it in many ways. As I had mentioned in my answer earlier on, if there are charities who are going to be involved in very meaningful causes, such as in disaster relief or in some other purpose that is important of that time, we are prepared to grant exemptions.",2,9,2020-03-04-T-001-S-00009
2020-03-04-T-001,Grace Fu Hai Yien,Ms Grace Fu Hai Yien,"Similarly, we have also the structure to support visions such as Ms Ong's. I mentioned in my speech earlier on about how this is a collaboration between various organisations in Singapore, including some of the important and critical NPOs.",3,10,2020-03-04-T-001-S-00010
2020-03-04-T-001,Grace Fu Hai Yien,Ms Grace Fu Hai Yien,"Besides just supporting charities, I would also like to give a special mention to the very good work that many of our youths are doing. Even where, without a presence of charities outside Singapore, they have been able to do very good work, helping with local communities in the region.",4,11,2020-03-04-T-001-S-00011
2020-03-04-T-001,Grace Fu Hai Yien,Ms Grace Fu Hai Yien,"This is where, I think, we are planting the seeds and we hope that more will think like Ms Ong – interested and prepared to invest their time and resources in social causes that confront us and the region.",5,12,2020-03-04-T-001-S-00012
2020-03-04-T-002,Anthea Ong,Ms Anthea Ong,"asked the Minister for Education what steps are taken to avoid discrimination on the basis of descent in our Primary school admission system which gives preference to children of alumni, given that Article 16(1)(a) of our Constitution provides that ""there shall be no discrimination against any citizen of Singapore on the grounds only of religion, race, descent or place of birth in the administration of any educational institution maintained by a public authority, and, in particular, the admission of pupils..."".",1,13,2020-03-04-T-002-S-00013
