Date,Topic_CID,Order,Title,Subtitle,Section_Type,Question_Count
2017-01-10,2017-01-10-T-001,1,Effectiveness of Move to Let Social Enterprises Run Hawker Centres,,OA,
2017-01-10,2017-01-10-T-002,2,Display of Prices at Wet Market Stalls,,OA,
2017-01-10,2017-01-10-T-003,3,Singapore Companies' Efforts to Upskill Employees and Use of SkillsFuture Credits to Train for Alternative Careers,,OA,
2017-01-10,2017-01-10-T-004,4,Progress on Plan to Set up School-based Student Care Centres in Primary Schools,,OA,
2017-01-10,2017-01-10-T-005,5,Government's Response to State Coroner's Suggestions to Mitigate Psychological Effects for Young People under Police Investigation,,OA,
2017-01-10,2017-01-10-T-006,6,Appointment of New Attorney-General in Accordance with Article 35 of Constitution,,OA,
2017-01-10,2017-01-10-T-007,7,Assessment by Traffic Police of Suitability to Drive for Drivers with Prescribed Diseases or Disabilities,,OA,
2017-01-10,2017-01-10-T-008,8,'Break the Silence' Campaign to Encourage Intervention in Family Violence Situations,,OA,
2017-01-10,2017-01-10-T-009,9,Number and Profile of Persons who Attempted Suicide,,OA,
2017-01-10,2017-01-10-T-010,10,Mandatory Safety Barriers at Escalator Handrails,,OA,
2017-01-10,2017-01-10-T-011,11,"Repairs for Spalling Concrete, Ceiling and Sewage Pipe Leaks beyond Defects Liability Period",,OA,
2017-01-10,2017-01-10-T-012,12,Profile of Organisations that Received Disbursements from Cultural Matching Fund,,OA,
2017-01-10,2017-01-10-T-013,13,Review Arrangements for Malay-Muslim Community Development Fund Disbursements,,OA,
2017-01-10,2017-01-10-T-014,14,Medical House Calls on Home-bound Patients at Subsidised Rates,,OA,
2017-01-10,2017-01-10-T-015,15,Enhancing Skills and Capabilities of Nurses and Nursing Aides,Including aides in nursing homes,OA,
2017-01-10,2017-01-10-T-016,16,Road Traffic (Amendment) Bill,,BI,
2017-01-10,2017-01-10-T-017,17,Mediation Bill,,BP,
2017-01-10,2017-01-10-T-018,18,Civil Law (Amendment) Bill,,BP,
2017-01-10,2017-01-10-T-019,19,The Kwong-Wai-Shiu Free Hospital (Transfer of Undertaking and Dissolution) Bill,,BP,
2017-01-10,2017-01-10-T-020,20,Active Mobility Bill,,BP,
2017-01-10,2017-01-10-T-021,21,Adjournment,,OS,
2017-01-10,2017-01-10-T-022,22,Resolution of Signalling Problems along Circle Line,,WANA,
2017-01-10,2017-01-10-T-023,23,Feedback from Implementation of Courtesy Crossing under Silver Zone Initiative,,WANA,
2017-01-10,2017-01-10-T-024,24,Simpler Language in Skills Training Course Materials to Cater to Older Workers,,WANA,
2017-01-10,2017-01-10-T-025,25,"Duration of Government Contracts for Clean, Green and Safe Sectors",,WANA,
2017-01-10,2017-01-10-T-026,26,Age Limit for Clinical Trial for Pre-implantation Genetic Screening,,WANA,
2017-01-10,2017-01-10-T-027,27,Number of Foreign Domestic Workers who have Undergone Basic Eldercare Course,,WANA,
2017-01-10,2017-01-10-T-028,28,Government Measures to Support Building and Construction Industry Slowdown,,WANA,
2017-01-10,2017-01-10-T-029,29,"Review Width of Footpaths Given Shared Usage by Pedestrians, Cyclists and Users of Personal Mobility Devices",,WANA,
2017-01-10,2017-01-10-T-030,30,Payment for Failed ERP Deductions without Incurring Administrative Fee,,WANA,
2017-01-10,2017-01-10-T-031,31,Source of Distributed Denial of Service Attack on StarHub in October 2016,,WA,
2017-01-10,2017-01-10-T-032,32,"Employment Eligibility in Police, Auxiliary Police and Private Security Industry",,WA,
