topic_id,date,topic_order,title,section_type
2020-02-18-T-001,2020-02-18,1,Heightened Concerns and Measures with Local Transmission of COVID-19,OA
2020-02-18-T-002,2020-02-18,2,Efforts to Combat Spread of COVID-19 on Public Buses and Trains,OA
2020-02-18-T-003,2020-02-18,3,Economic Impact from COVID-19 on Singapore,OA
2020-02-18-T-004,2020-02-18,4,Loans Offered to Private-hire Drivers by Transport Start-up without Moneylender Licence,OA
2020-02-18-T-005,2020-02-18,5,Complaints to Traffic Police about Noisy Vehicles in Last Three Years,OA
2020-02-18-T-006,2020-02-18,6,Industries that Find It Difficult to Hire PMET Singaporeans,OA
2020-02-18-T-007,2020-02-18,7,Medical Insurance for Gig Economy Workers,OA
2020-02-18-T-008,2020-02-18,8,Percentage of Grassroots Advisors who are Members of Political Party ,OA
2020-02-18-T-009,2020-02-18,9,Individuals and Organisations Prosecuted for Illegal Shipment of Elephant Ivory and Pangolin Scales in 2019,OA
2020-02-18-T-010,2020-02-18,10,Help for HDB Owners in Financial Hardship Who Are Unable to Sell Flats Due to Ethnic Integration Policy,OA
2020-02-18-T-011,2020-02-18,11,Government’s Response to Recommendations from Institute of Policy Studies Report on Stay-at-home Fathers,OA
2020-02-18-T-012,2020-02-18,12,Public Utilities (Amendment) Bill,BI
2020-02-18-T-013,2020-02-18,13,Annual Budget Statement,OS
2020-02-18-T-014,2020-02-18,14,Adjournment,OS
2020-02-18-T-015,2020-02-18,15,Financial Products to Protect Special Needs Children and Their Families,WANA
2020-02-18-T-016,2020-02-18,16,Work-study as Integral Component of Undergraduate Degree Programmes at Autonomous Universities,WANA
2020-02-18-T-017,2020-02-18,17,Review of Sexual Education in Schools with Greater Emphasis on Gender Equality,WANA
2020-02-18-T-018,2020-02-18,18,Number of Families and Couples Renting under Parenthood Provisional Housing Scheme and Those in Arrears,WANA
2020-02-18-T-019,2020-02-18,19,Cause of Recent Mass Fish Deaths at Pasir Ris,WANA
2020-02-18-T-020,2020-02-18,20,Encouraging Companies to Provide Family Care Leave and Other Support to Help Employees Cope with Work and Care-giving Responsibilities,WANA
2020-02-18-T-021,2020-02-18,21,Complaints of Excessive Number of Foreigners Working in Financial Institutions,WANA
2020-02-18-T-022,2020-02-18,22,Balancing Needs of Motorists and Pedestrians with Increasing Number of Silver Zones Built,WANA
2020-02-18-T-023,2020-02-18,23,Lessons Learnt from Recent COVID-19 Outbreak,WA
2020-02-18-T-024,2020-02-18,24,Increase in Number of Non-renewal of Road Tax Offences after Implementation of E-notification to Vehicle Owners,WA
2020-02-18-T-025,2020-02-18,25,Measures to Protect Children at Home from Sexual Grooming and Harassment on Social Media,WA
2020-02-18-T-026,2020-02-18,26,Breakdown of Number of COVID-19 Cases by Type of Residence Prior to Diagnosis,WA
2020-02-18-T-027,2020-02-18,27,Projected Cost in Grants and Incentives and Net Job Creation from $15.2 Billion in Fixed Asset Investments in 2019,WA
2020-02-18-T-028,2020-02-18,28,Records on Death of Licensed Dogs at Dog Farms and Pet Shops in Past Three Years,WA
2020-02-18-T-029,2020-02-18,29,Projection on Absolute and Percentage Change in Net Carbon Emissions Each Year from 2019 to 2023,WA
2020-02-18-T-030,2020-02-18,30,"Number of ""Virtual"" Restaurants Operating by Food Apps in Singapore",WA
2020-02-18-T-031,2020-02-18,31,Statistics on Primary and Secondary School Children Homeschooled in Past Five Years and Assessment on Their Social-emotional and Character Development,WA
2020-02-18-T-032,2020-02-18,32,Statistics on Primary Schools with Highest Alumni under Integrated Programme in Last Three Years,WA
2020-02-18-T-033,2020-02-18,33,Reduction of Salary of Work Permit Holders to Below Amount Stated on In-principle Approval Letter,WA
2020-02-18-T-034,2020-02-18,34,Statistics on Workplace Harassment in Last Three Years and Efforts to Set Up Watchlist on  Employers,WA
2020-02-18-T-035,2020-02-18,35,Number of In-principle Approval Letters Issued for Foreign Domestic Workers with Zero Rest Days Declared,WA
2020-02-18-T-036,2020-02-18,36,Update on Number of Mediation Requests and Their Outcomes since Establishment of Tripartite Alliance for Dispute Management,WA
