topic_id,date,topic_order,title,section_type
2023-05-09-T-001,2023-05-09,1,Benefits to Singapore from Setting Up of Singapore-Shanghai Comprehensive Cooperation Council,OA
2023-05-09-T-002,2023-05-09,2,"Collection Rate of ""Bloobox"" for Recycling Campaign",OA
2023-05-09-T-003,2023-05-09,3,"Impact of ""Bilge Dumping"" by Tankers",OA
2023-05-09-T-004,2023-05-09,4,Reviewing Income Criteria for Student Care Fee Assistance to Reduce Out-of-pocket Expenses,OA
2023-05-09-T-005,2023-05-09,5,Myocarditis Cases amongst Applicants for Vaccine Injury Financial Assistance Programme,OA
2023-05-09-T-006,2023-05-09,6,Prevalence of Home Rental Scams Using Online Platforms as Conduit,OA
2023-05-09-T-007,2023-05-09,7,Inclusion of Animal Welfare Content in Character and Citizenship Education Syllabus,OA
2023-05-09-T-008,2023-05-09,8,Ridership Demand Considerations in New Fare Adjustment Formula,OA
2023-05-09-T-009,2023-05-09,9,"Impact of Higher Interest Rates on Residential and Commercial Mortgagee Listings, and on Bankruptcy Applications",OA
2023-05-09-T-010,2023-05-09,10,Measures to Prevent Cases of Seniors Passing Away Undetected in Their Homes,OA
2023-05-09-T-011,2023-05-09,11,Use of Mattresses in Migrant Worker Dormitories,OA
2023-05-09-T-012,2023-05-09,12,Completion of Review by Community Advisory Panel for Quantitative Noise Threshold for Neighbourhoods,OA
2023-05-09-T-013,2023-05-09,13,Measures to Mitigate Risks of Data Compromise via Public Charging Stations and Wifi Access Points,OA
2023-05-09-T-014,2023-05-09,14,Device Management Application and Antivirus Software in Government-issued Mobile Devices,OA
2023-05-09-T-015,2023-05-09,15,Ensuring Development and Maintenance of Ethical Artificial Intelligence Standards,OA
2023-05-09-T-016,2023-05-09,16,Women's Charter (Family Violence and Other Matters) (Amendment) Bill,BI
2023-05-09-T-017,2023-05-09,17,Building and Related Works (Miscellaneous Amendments) Bill,BI
2023-05-09-T-018,2023-05-09,18,Maintenance of Parents (Amendment) Bill,BI
2023-05-09-T-019,2023-05-09,19,"Corruption, Drug Trafficking and Other Serious Crimes (Confiscation of Benefits) (Amendment) Bill",BP
2023-05-09-T-020,2023-05-09,20,Computer Misuse (Amendment) Bill,BP
2023-05-09-T-021,2023-05-09,21,Financial Services and Markets (Amendments) Bill ,BP
2023-05-09-T-022,2023-05-09,22,"Companies, Business Trusts and Other Bodies (Miscellaneous Amendments) Bill",BP
2023-05-09-T-023,2023-05-09,23,Supporting Healthcare,OS
2023-05-09-T-024,2023-05-09,24,Adjournment of Debate,OS
2023-05-09-T-025,2023-05-09,25,Enhancing End of Life with Choices and Dignity,OS
2023-05-09-T-026,2023-05-09,26,Enhanced Preventive Measures Undertaken in Response to Recent Spike in Breakdowns on North-South and East-West Lines,WANA
2023-05-09-T-027,2023-05-09,27,Amounts Raised and Breakdown of Donors to Rare Disease Fund,WANA
2023-05-09-T-028,2023-05-09,28,Justification for Employers Only Accepting Medical Certificates Issued by Polyclinics,WANA
2023-05-09-T-029,2023-05-09,29,Data on Foreign Funds Flowing into Singapore through Family Offices,WANA
2023-05-09-T-030,2023-05-09,30,Cases of Migrant Worker Dormitory Operators Falling Short of Expectations for Food Storage and Drop-off,WANA
2023-05-09-T-031,2023-05-09,31,Guidelines on Number of Birds that May Be Kept in HDB Flat,WANA
2023-05-09-T-032,2023-05-09,32,Quality of Thomson-East Coast Line's Rolling Stock and Signalling System,WANA
2023-05-09-T-033,2023-05-09,33,Considerations of Hospital Committees in Assessing MediFund Assistance Requests,WANA
2023-05-09-T-034,2023-05-09,34,Payment Rates for Work Permit Holders Asked to Work on Rest Days,WANA
2023-05-09-T-035,2023-05-09,35,Simplified Busking Audition Process,WANA
2023-05-09-T-036,2023-05-09,36,Communications on Official Matters on Personal Mobile Devices,WANA
2023-05-09-T-037,2023-05-09,37,Audits of Extended Producer Responsibility Processes for E-waste Management,WANA
2023-05-09-T-038,2023-05-09,38,Result of Probe into 16 April 2023 Accident at Upper Thomson Road Involving Two Groups of Cyclists,WANA
2023-05-09-T-039,2023-05-09,39,Processes to Determine Leakage in Underground Water Pipes,WANA
2023-05-09-T-040,2023-05-09,40,"Rationale for $75,000 Threshold Amount in Deposit Insurance Scheme",WANA
2023-05-09-T-041,2023-05-09,41,"Data of Non-residents by Age, Employment Status, Profession and Income",WA
2023-05-09-T-042,2023-05-09,42,Provision of Fertility Leave to Public Servants,WA
2023-05-09-T-043,2023-05-09,43,Application of Same Regulatory Standards Required for Opening of Bank Accounts to External Asset Managers,WA
2023-05-09-T-044,2023-05-09,44,Annual Contributions to Philanthropic Activities by Family Offices,WA
2023-05-09-T-045,2023-05-09,45,Data on Monthly Pension Paid to Retired Civil Servants under Government Pension Scheme,WA
2023-05-09-T-046,2023-05-09,46,Leveraging New Artificial Intelligence Technologies in e-Government Services,WA
2023-05-09-T-047,2023-05-09,47,Review of Rules to Safeguard Against Over-indebtedness,WA
2023-05-09-T-048,2023-05-09,48,ASEAN Leadership Plans in Light of Continuing and Increasing Violence and Human Rights Violations in Myanmar,WA
2023-05-09-T-049,2023-05-09,49,Potential Third Land Link between Singapore and Johor Bahru,WA
2023-05-09-T-050,2023-05-09,50,Plans to Raise Awareness Among Cyclists on Highway Code and Guideline for On-road Cycling Groups,WA
2023-05-09-T-051,2023-05-09,51,Dedicated Charging Stations for Electric Vehicles in HDB Multi-storey Car Parks vs Radio Frequency Identification-controlled Power Points,WA
2023-05-09-T-052,2023-05-09,52,Data on Cyclists Taking up Third-party Liability Insurance,WA
2023-05-09-T-053,2023-05-09,53,Households Collecting Public Transport Vouchers by Registration or Appeal,WA
2023-05-09-T-054,2023-05-09,54,Data on Fully Electric Public Hire Vehicles and Taxis and Plans to Raise Percentage,WA
2023-05-09-T-055,2023-05-09,55,Installation of Anti-slip Flooring and Handrails in NEA Hawker Centres or Coffee Shops with Exposure to Rainfall,WA
2023-05-09-T-056,2023-05-09,56,Collection Rate for Bloobox and Updates on Improvement in Recycling Rates,WA
2023-05-09-T-057,2023-05-09,57,Students Attending Tamil Language Lessons in Regional Centres and Measures to Reduce Need for Them to Travel,WA
2023-05-09-T-058,2023-05-09,58,Data on Elective Admissions of Singaporean and Foreign Patients into Hospitals since January 2022,WA
2023-05-09-T-059,2023-05-09,59,Penetration Rate of Eldercare Centre Service Model among Senior Residents,WA
2023-05-09-T-060,2023-05-09,60,Ensuring Sufficient Diabetes Medication Purchased Only for Prescribed Medical Use,WA
2023-05-09-T-061,2023-05-09,61,Annual Data on Heat-related Illnesses and Injuries and Plans to Raise Public Awareness,WA
2023-05-09-T-062,2023-05-09,62,Renovation Contractors Penalised for Improper Disposal of Renovation Debris on Common Property in HDB Estates,WA
2023-05-09-T-063,2023-05-09,63,Relocating Stray Cats when Redeveloping Areas with Sizeable Stray Populations,WA
2023-05-09-T-064,2023-05-09,64,Protecting Consumers and Businesses from Losses due to Disruption of Digital Services by Service Providers,WA
2023-05-09-T-065,2023-05-09,65,Rationale for Ending Raikan Cahaya Ramadan 2023 Bazaar One Week before Hari Raya,WA
2023-05-09-T-066,2023-05-09,66,Sensory Rooms for Individuals to Develop their Senses within Government-owned Sports and Cultural Facilities,WA
2023-05-09-T-067,2023-05-09,67,Companies Adopting Tripartite Standard on Work-Life Harmony in Past Two Years,WA
2023-05-09-T-068,2023-05-09,68,Causes of Long-term Unemployment and Successful Reduction Initiatives,WA
2023-05-09-T-069,2023-05-09,69,Competencies and Qualifications Required under Household Services Scheme to Provide Eldercare Services,WA
2023-05-09-T-070,2023-05-09,70,Inspections to Ensure Adequate Safety Measures to Prevent Heat Injuries and Punishments Meted Out,WA
