topic_id,date,topic_order,title,section_type
2015-01-20-T-001,2015-01-20,1,Administering Different Drugs and Treatment for Same Medical Conditions,OA
2015-01-20-T-002,2015-01-20,2,Diseases Prevalent among Malay Community,OA
2015-01-20-T-003,2015-01-20,3,HDB Flats That Have Been Compulsorily Acquired,OA
2015-01-20-T-004,2015-01-20,4,Implication of Huge Net Deficit in HDB Budget,OA
2015-01-20-T-005,2015-01-20,5,Number of Events at Speaker's Corner,OA
2015-01-20-T-006,2015-01-20,6,Singapore's Flood Resilience Plans,OA
2015-01-20-T-007,2015-01-20,7,Enhancing Availability of Corporate Retirement Plans,OA
2015-01-20-T-008,2015-01-20,8,Appeals Related to Pioneer Generation Package,OA
2015-01-20-T-009,2015-01-20,9,Sectoral Manpower and Skills Development Strategies for Traditional Industries,OA
2015-01-20-T-010,2015-01-20,10,Applications for and Enhancements to MUIS' Financial Assistance Schemes,OA
2015-01-20-T-011,2015-01-20,11,Medical Support for National Athletes,OA
2015-01-20-T-012,2015-01-20,12,COEs for Commercial Vehicles,OA
2015-01-20-T-013,2015-01-20,13,Implementation of Beijing Declaration on Fighting Corruption,OA
2015-01-20-T-014,2015-01-20,14,Tracking and Controlling Populations of Pests,OA
2015-01-20-T-015,2015-01-20,15,Paid Caregiver Leave,OA
2015-01-20-T-016,2015-01-20,16,Foreign Employee Dormitories Bill,BP
2015-01-20-T-017,2015-01-20,17,Adjournment,OS
2015-01-20-T-018,2015-01-20,18,Measures to Help SMEs Pursuing Greater Productivity to Cope with Rising Costs,WANA
2015-01-20-T-019,2015-01-20,19,Regulations on Feeding of Stray Animals to Prevent Unwanted Growth in Population of Pests,WANA
2015-01-20-T-020,2015-01-20,20,Recognition for Uniformed Service Officers who Died while in Service,WANA
2015-01-20-T-021,2015-01-20,21,Comparison of Pollutant Standards Index Readings for 2013 and 2014,WANA
2015-01-20-T-022,2015-01-20,22,Manpower-intensive Industries in Productive Economy,WANA
2015-01-20-T-023,2015-01-20,23,Rise in Incidence of Confrontational Behaviour towards Public Service Staff,WANA
2015-01-20-T-024,2015-01-20,24,Update on Major Construction Works for North-South Expressway,WANA
2015-01-20-T-025,2015-01-20,25,Extradition of Singapore-based Chinese Nationals Suspected of Corruption in China,WANA
2015-01-20-T-026,2015-01-20,26,Reviewing Pay-outs under Work Injury Compensation Act,WANA
2015-01-20-T-027,2015-01-20,27,Safeguards for Construction Works Occurring near Densely Populated Residential Areas,WANA
2015-01-20-T-028,2015-01-20,28,Strengthening Penalties for Companies that Discriminate against Singaporeans in Hiring,WANA
2015-01-20-T-029,2015-01-20,29,Higher Interest Rate for Home Owners who Take Third Housing Loan from HDB,WANA
2015-01-20-T-030,2015-01-20,30,Making HDB Flats Accessible to Wheelchairs and Ambulance Stretchers,WANA
2015-01-20-T-031,2015-01-20,31,Restroom Facilities and Signages at Park Connectors,WANA
2015-01-20-T-032,2015-01-20,32,Extending Working Mother's Child Relief and Foreign Maid Levy Relief to Single Mothers,WA
2015-01-20-T-033,2015-01-20,33,Primary 1 Student Enrolment in Full-time Madrasahs,WA
2015-01-20-T-034,2015-01-20,34,Season Parking Rates for Class 3 Passenger Vans,WA
2015-01-20-T-035,2015-01-20,35,Progress on Relocation of Paya Lebar Airbase,WA
2015-01-20-T-036,2015-01-20,36,Progress Made by Multinational Coalition Forces in Fight against Islamic State in Iraq and Syria,WA
2015-01-20-T-037,2015-01-20,37,Indonesia's Relations with Singapore and ASEAN,WA
2015-01-20-T-038,2015-01-20,38,Healthcare Professional Conversion Programme,WA
2015-01-20-T-039,2015-01-20,39,Cost of Providing Free Transport for Older Singaporeans,WA
2015-01-20-T-040,2015-01-20,40,Feedback on Language Abilities of Bus Captains,WA
2015-01-20-T-041,2015-01-20,41,Increasing Current Minimum Annual Leave Entitlement under Employment Act,WA
2015-01-20-T-042,2015-01-20,42,Restoration of Former Surrender Chamber in Old City Hall Building,WA
