topic_id,date,topic_order,title,section_type
2018-07-10-T-001,2018-07-10,1,Number of Teachers Trained to Teach Special Needs Students,OA
2018-07-10-T-002,2018-07-10,2,Measures to Mitigate Increasing Cost of Living,OA
2018-07-10-T-003,2018-07-10,3,Ragging Culture in the SAF,OA
2018-07-10-T-004,2018-07-10,4,Long-Term Investment Returns of Temasek Holdings and GIC,OA
2018-07-10-T-005,2018-07-10,5,Rationale for Not Replacing ElderShield with CareShield Life,OA
2018-07-10-T-006,2018-07-10,6,Industrial Fire Trends and Spot Checks to Ensure Compliance to Safety Measures,OA
2018-07-10-T-007,2018-07-10,7,Profile of Victims of Internet Love Scams,OA
2018-07-10-T-008,2018-07-10,8,Success Rate for Job Matching on MyCareersFuture.sg,OA
2018-07-10-T-009,2018-07-10,9,Transport Safety Investigations Bill,BI
2018-07-10-T-010,2018-07-10,10,CareShield Life,OS
2018-07-10-T-011,2018-07-10,11,Extension of a Sitting,OS
2018-07-10-T-012,2018-07-10,12,CareShield Life,OS
2018-07-10-T-013,2018-07-10,13,Care Provisions in Welfare Homes and Support for Re-integration into Community,WANA
2018-07-10-T-014,2018-07-10,14,Prevention of Power Outage in Central Business District,WANA
2018-07-10-T-015,2018-07-10,15,Review of Regulations to Protect Wild Animals near Places such as Construction Sites,WANA
2018-07-10-T-016,2018-07-10,16,Enforcement Action against Errant Users of Personal Mobility Devices ,WANA
2018-07-10-T-017,2018-07-10,17,Proposal to Tighten Regulations for Users of Personal Mobility Devices,WANA
2018-07-10-T-018,2018-07-10,18,Flexi Flats Returned to HDB after Demise of Owners,WANA
2018-07-10-T-019,2018-07-10,19,Remedial Steps to Improve Workplace Safety by PIE Viaduct Collapse Contractor,WANA
2018-07-10-T-020,2018-07-10,20,Evaluation of Public Construction Work Tenders after Incidence of PIE Viaduct Collapse,WANA
2018-07-10-T-021,2018-07-10,21,"Proposal for MRT stations for along Cross Island Line at Fernvale, Sengkang, Hougang and Buangkok",WANA
2018-07-10-T-022,2018-07-10,22,Ban of Smartphones in Schools,WANA
2018-07-10-T-023,2018-07-10,23,Trend of Cord Blood Donation by Minority Races,WANA
2018-07-10-T-024,2018-07-10,24,Action against Sale of Illegal and Sexual Enhancement Drugs at Junction of Aljunied Road and Geylang Road,WANA
2018-07-10-T-025,2018-07-10,25,Number of Public Healthcare Workers Not Offered Re-employment,WANA
2018-07-10-T-026,2018-07-10,26,Proposal to Review Specialist Training under Accreditation Council for Graduate Medical Education,WANA
2018-07-10-T-027,2018-07-10,27,Adherence to National Wages Council Guidelines as Qualifying Criterion for Companies to be Eligible for Government Funding,WANA
2018-07-10-T-028,2018-07-10,28,Support for Non-profit Organisations Promoting Lifelong Employability of Seniors,WANA
2018-07-10-T-029,2018-07-10,29,Increasing Incidents of Fires Involving Personal Mobility Devices,WANA
2018-07-10-T-030,2018-07-10,30,Allowing First-timers to Buy HDB BTO and New Flats without Income Ceiling,WANA
2018-07-10-T-031,2018-07-10,31,Ability of HDB Flats to Withstand Decay and Strong Winds and Rain,WANA
2018-07-10-T-032,2018-07-10,32,"Minimum Age for Users of Electric Bicycles, E-scooters and PMDs",WANA
2018-07-10-T-033,2018-07-10,33,"Design PMD Rules to Keep Elderly, Younger and Disabled Pedestrians Safe",WANA
2018-07-10-T-034,2018-07-10,34,Projects Undertaken by PIE Viaduct Collapse Contractor,WANA
2018-07-10-T-035,2018-07-10,35,Top-up of EZ-link Cards at Passenger Service Centre of MRT Stations,WANA
2018-07-10-T-036,2018-07-10,36,Recourse for Victims of Hit-and-run E-scooter Accidents,WANA
2018-07-10-T-037,2018-07-10,37,Accuracy of National Service’s Physical Employment Standards System,WANA
2018-07-10-T-038,2018-07-10,38,Breakdown of New Hires for Graduate Roles in Public Service and Civil Service from 2013 to 2017 ,WA
2018-07-10-T-039,2018-07-10,39,Update on Current Status of Malaysia-Singapore High-Speed Rail Project,WA
2018-07-10-T-040,2018-07-10,40,After-arrest Mental Healthcare Provided for Mental Illness Cases,WA
2018-07-10-T-041,2018-07-10,41,New Citizens Relinquishing Their Citizenship in Past 20 Years,WA
2018-07-10-T-042,2018-07-10,42,Standardisation of Starting Salary for MOH Scholars Across All Its Healthcare Clusters,WA
2018-07-10-T-043,2018-07-10,43,Research Conducted on Awareness Level of Smoking-related Health Risks among Singaporeans,WA
2018-07-10-T-044,2018-07-10,44,Free Live Broadcasts of World Cup 2018 in Singapore,WA
2018-07-10-T-045,2018-07-10,45,Regulation to Ensure Deletion of Personal Data Collected by oBike,WA
2018-07-10-T-046,2018-07-10,46,Statistics on Stamp Duty and Property Tax Collected from Purchase and Sale of Properties from 2015 to 2017,WA
2018-07-10-T-047,2018-07-10,47,Breakdown on Disbursement of Agriculture Productivity Fund to Companies,WA
2018-07-10-T-048,2018-07-10,48,Average Annual Electricity Consumption for Commercial Buildings from 2013 to 2017,WA
2018-07-10-T-049,2018-07-10,49,Provisions for Candidates with Medical Certificate to Resit Primary School Leaving Examination,WA
2018-07-10-T-050,2018-07-10,50,Tracking of Students Who Drop Out of Secondary Education,WA
2018-07-10-T-051,2018-07-10,51,CPF Account Withdrawals and Cancellations by Singaporeans and Permanent Residents,WA
2018-07-10-T-052,2018-07-10,52,Annual Breakdown on Approval of Foreign Manpower Request for Companies Not Meeting Minimum Salary or Quota Requirements,WA
