topic_id,date,topic_order,title,section_type
2022-01-11-T-001,2022-01-11,1,Government's Support of Hybrid and Work-from-home Arrangements,OA
2022-01-11-T-002,2022-01-11,2,Reasons for Recent Rise in Costs and Measures to Help Singaporeans Cope ,OA
2022-01-11-T-003,2022-01-11,3,Measures to Help Singaporeans Cope with Rising Inflation and Impact of Government's Fiscal Support for Businesses and Households on Inflation,OA
2022-01-11-T-004,2022-01-11,4,Review of Household Income and Per Capita Income Criteria for ComCare Assistance Given Rising Inflation,OA
2022-01-11-T-005,2022-01-11,5,Support for Point-to-Point Sector Given Rising Petrol Prices and Slow Recovery in Passenger Numbers,OA
2022-01-11-T-006,2022-01-11,6,Number of Singaporeans Who Have Given Up Smoking in Past Two Years and Proposal to Consider Total Ban on Sale of Tobacco Products ,OA
2022-01-11-T-007,2022-01-11,7,Personal Explanation by Member,OS
2022-01-11-T-008,2022-01-11,8,Monetary Authority of Singapore (Amendment) Bill,BP
2022-01-11-T-009,2022-01-11,9,Exchanges (Demutualisation and Merger) (Amendment) Bill,BP
2022-01-11-T-010,2022-01-11,10,Prisons (Amendment) Bill,BP
2022-01-11-T-011,2022-01-11,11,Exempted Business,OS
2022-01-11-T-012,2022-01-11,12,Prisons (Amendment) Bill,BP
2022-01-11-T-013,2022-01-11,13,Time Limit for Minister of State's Speech,OS
2022-01-11-T-014,2022-01-11,14,Prisons (Amendment) Bill,BP
2022-01-11-T-015,2022-01-11,15,Adjournment,OS
2022-01-11-T-016,2022-01-11,16,Percentage of Graduates who Completed SGUnited Traineeships and Yet Had Not Been Offered Permanent Employment,WANA
2022-01-11-T-017,2022-01-11,17,Annual Acceptance Rate for Professional Conversion Programme for Applicants from Different Age Groups and Educational Qualifications,WANA
2022-01-11-T-018,2022-01-11,18,Measures to Enhance Cybersecurity to Counter State-backed Entities,WANA
2022-01-11-T-019,2022-01-11,19,Steps for Singaporeans and Migrant Workers to Ensure Donations to Charities Based Overseas Do Not Support Terrorism Financing,WANA
2022-01-11-T-020,2022-01-11,20,Impact of Tightened Total Debt Servicing and Loan-to-value Ratios on First-time Buyers' Ability to Own Homes,WANA
2022-01-11-T-021,2022-01-11,21,Annual Number of Discrimination-related Claims Filed with Employment Claims Tribunal,WANA
2022-01-11-T-022,2022-01-11,22,Specialised Mental Health and Whistle-blowing Support for Healthcare Workers,WANA
