topic_id,date,topic_order,title,section_type
2018-02-27-T-001,2018-02-27,1,False Information Provided to Secure Primary School Places,OA
2018-02-27-T-002,2018-02-27,2,Trespass and Unauthorised Access to Private Properties and Restricted Areas,OA
2018-02-27-T-003,2018-02-27,3,Sexual Harassment Cases at Workplace and Through Use of Technology,OA
2018-02-27-T-004,2018-02-27,4,Tuition Assistance at Relevant Ethnic Self-help Group for Mother Tongue Language,OA
2018-02-27-T-005,2018-02-27,5,Accountability of Food Delivery and Courier Service Companies for Work-related Traffic Accidents,OA
2018-02-27-T-006,2018-02-27,6,Higher Standard of Living while Maintaining Lower Cost of Living,OA
2018-02-27-T-007,2018-02-27,7,Rental as Percentage of Total Expenses of SMEs,OA
2018-02-27-T-008,2018-02-27,8,Growth in International Passenger Numbers at Changi Airport,OA
2018-02-27-T-009,2018-02-27,9,Impact of SkillsFuture on Employability of Graduates above Age 40,OA
2018-02-27-T-010,2018-02-27,10,Safeguard Working Conditions of Postmen,OA
2018-02-27-T-011,2018-02-27,11,Competition (Amendment) Bill,BI
2018-02-27-T-012,2018-02-27,12,Regulation of Imports and Exports (Amendment) Bill,BI
2018-02-27-T-013,2018-02-27,13,Films (Amendment) Bill,BI
2018-02-27-T-014,2018-02-27,14,Public Order and Safety (Special Powers) Bill,BI
2018-02-27-T-015,2018-02-27,15,Common Services Tunnels Bill,BI
2018-02-27-T-016,2018-02-27,16,Debate on Annual Budget Statement,OS
2018-02-27-T-017,2018-02-27,17,Adjournment of Debate,OS
2018-02-27-T-018,2018-02-27,18,Adjournment,OS
2018-02-27-T-019,2018-02-27,19,Root Cause of Human Error that Led to NETS Service Outage and Preventive Measures for Future Recurrence,WANA
2018-02-27-T-020,2018-02-27,20,Rise in Security Expenditure and Impact on Cost of Living in Singapore,WANA
2018-02-27-T-021,2018-02-27,21,Investigations into Cause for Escalators Catching Fire,WANA
2018-02-27-T-022,2018-02-27,22,Follow-up Medical Care for Released Prison Inmates,WANA
2018-02-27-T-023,2018-02-27,23,Plans to Cover Domestic Workers under Employment Act,WA
2018-02-27-T-024,2018-02-27,24,Compliance Rate of Employers in Cases of Non-Payment of Arrears,WA
2018-02-27-T-025,2018-02-27,25,Authenticity and Accuracy of Description of Jobs Advertised on Internet-based Job Portals,WA
2018-02-27-T-026,2018-02-27,26,Profile and Success Rate of Singapore Startups,WA
2018-02-27-T-027,2018-02-27,27,Criteria for Retention of Central Cluster over Other Buildings in Dakota Crescent,WA
2018-02-27-T-028,2018-02-27,28,Update on Plans to Enhance Mandatory Waste Reporting Requirements by Supermarkets,WA
