topic_id,date,topic_order,title,section_type
2023-01-10-T-001,2023-01-10,1,Proposal for Cohort Smoking Ban in Singapore,OA
2023-01-10-T-002,2023-01-10,2,Additional Measures to Curb Gambling Addiction Given Spike in Amounts Spent on Lotteries and Sports Betting,OA
2023-01-10-T-003,2023-01-10,3,Misuse of Drugs Act 1973 Proviso to Commit for Treatment a Person Reasonably Suspected to be Casual Drug User,OA
2023-01-10-T-004,2023-01-10,4,Feasibility of Seaweed Production in Singapore’s Waters,OA
2023-01-10-T-005,2023-01-10,5,Ex-offenders Assisted under Jobs Growth Incentive Scheme,OA
2023-01-10-T-006,2023-01-10,6,Sufficiency of Over-the-counter Medicine Supplies in Singapore,OA
2023-01-10-T-007,2023-01-10,7,Cases Reported to Adult Protective Service and the Child Protective Service,OA
2023-01-10-T-008,2023-01-10,8,Flexibility under Work Pass Framework to Hire Foreign Nurses to Meet Healthcare Sector Needs,OA
2023-01-10-T-009,2023-01-10,9,Review on Contribution Amounts by Employees to Self-help Groups,OA
2023-01-10-T-010,2023-01-10,10,Proposed Rule to Require Commercial Vehicles and Buses to Have Rear View Cameras Installed,OA
2023-01-10-T-011,2023-01-10,11,Spate of Home Fires Related to Electrical Appliances and Devices,OA
2023-01-10-T-012,2023-01-10,12,Impact of COVID-19 Situation in China on Key Supply Chains for Singapore,OA
2023-01-10-T-013,2023-01-10,13,Policy on Use of Dialect Languages on Radio and Television Channels,OA
2023-01-10-T-014,2023-01-10,14,Factors in Deciding Whether or Not to Press Charges Against Persons with Disabilities,OA
2023-01-10-T-015,2023-01-10,15,Factors in Determination of Value of Land for Public and Private Housing,OA
2023-01-10-T-016,2023-01-10,16,SkillsFuture Singapore Agency (Amendment) Bill,BP
2023-01-10-T-017,2023-01-10,17,Skills Development Levy (Amendment) Bill,BP
2023-01-10-T-018,2023-01-10,18,Housing and Development (Amendment) Bill,BP
2023-01-10-T-019,2023-01-10,19,Subscription to the International Development Association,OS
2023-01-10-T-020,2023-01-10,20,Clarification by Minister for National Development,OS
2023-01-10-T-021,2023-01-10,21,Adjournment,OS
2023-01-10-T-022,2023-01-10,22,Funding to Persons Providing Commentary on Social Media Platforms in Support of Government Policies,WANA
2023-01-10-T-023,2023-01-10,23,Cost of Land Reclamation over Last 10 Years,WANA
2023-01-10-T-024,2023-01-10,24,Restructured Hospitals Requiring Deposits Before Commencing Medical Procedures or Treatment,WANA
2023-01-10-T-025,2023-01-10,25,Regulation of Rental Prices of HDB Flats Given Uptrend,WANA
2023-01-10-T-026,2023-01-10,26,Take-up of E-Government Services by Persons in Different Age Groups,WANA
2023-01-10-T-027,2023-01-10,27,Spending by Households on Tuition and Enrichment Classes for Children,WANA
2023-01-10-T-028,2023-01-10,28,Presence of Halal Vendors as Factor in Price-quality Method used for HDB Tenancies for Precinct Supermarkets and Coffee Shops,WANA
2023-01-10-T-029,2023-01-10,29,Effectiveness of Caning as Deterrent to Serious Crimes,WANA
2023-01-10-T-030,2023-01-10,30,Imposition of Caning for Crimes Committed by Offenders Above Age 50 against Children,WANA
2023-01-10-T-031,2023-01-10,31,Offenders who Committed Serious Crimes But Spared from Caning on Account of Age,WANA
2023-01-10-T-032,2023-01-10,32,Review of Gifted Education Programme on Its Relevance,WANA
2023-01-10-T-033,2023-01-10,33,Time-limited Rental Subsidy for Applicants who Qualify for Parenthood Provisional Housing Scheme and Public Rental Scheme,WANA
2023-01-10-T-034,2023-01-10,34,Proceeds Paid by HDB for Land for Public Housing,WANA
2023-01-10-T-035,2023-01-10,35,Adjustment of Workload for Teacher-counsellors to Allow Them to Balance Teaching and Counselling Duties,WANA
2023-01-10-T-036,2023-01-10,36,Households in Arrears of HDB Loan Repayments,WANA
2023-01-10-T-037,2023-01-10,37,Range of Fees Charged by Lasting Power of Attorney Certificate Issuers,WANA
2023-01-10-T-038,2023-01-10,38,Applications to Inclusive Business Programme In Support of Employment of Persons with Disabilities,WANA
2023-01-10-T-039,2023-01-10,39,Public Sector Jobs Lost due to Outsourcing of Government Functions,WANA
2023-01-10-T-040,2023-01-10,40,Enforcement against PMDs That Are Modified after Registration,WANA
