topic_id,date,topic_order,title,section_type
2013-03-06-T-001,2013-03-06,1,Time Allocation for Committee of Supply,OS
2013-03-06-T-002,2013-03-06,2,Engaging Singaporeans on Population Issues,OA
2013-03-06-T-003,2013-03-06,3,Emergency Response to Recent Newton MRT Station Fire,OA
2013-03-06-T-004,2013-03-06,4,Wages as a Share of Economic Growth and Companies' Profits,OA
2013-03-06-T-005,2013-03-06,5,Debate on Annual Budget Statement,OS
2013-03-06-T-006,2013-03-06,6,Extension of a Sitting,OS
2013-03-06-T-007,2013-03-06,7,Debate on Annual Budget Statement,OS
2013-03-06-T-008,2013-03-06,8,Adjournment of Debate,OS
2013-03-06-T-009,2013-03-06,9,Adjournment,OS
2013-03-06-T-010,2013-03-06,10,Public Transport Operators' Annual Share of Advertising Licensing Fees from Bus Stop Billboards,WA
