topic_id,date,topic_order,title,section_type
2020-08-24-T-001,2020-08-24,1,Opening of Parliament at Two Locations,OS
2020-08-24-T-002,2020-08-24,2,Election of Speaker,OS
2020-08-24-T-003,2020-08-24,3,Administration of Oaths,OS
2020-08-24-T-004,2020-08-24,4,Election of Speaker,OS
2020-08-24-T-005,2020-08-24,5,President's Address,OS
2020-08-24-T-006,2020-08-24,6,Ministry of Communications and Information,OS
2020-08-24-T-007,2020-08-24,7,"Ministry of Culture, Community and Youth",OS
2020-08-24-T-008,2020-08-24,8,Ministry of Defence,OS
2020-08-24-T-009,2020-08-24,9,Ministry of Education,OS
2020-08-24-T-010,2020-08-24,10,Ministry of Finance,OS
2020-08-24-T-011,2020-08-24,11,Ministry of Foreign Affairs,OS
2020-08-24-T-012,2020-08-24,12,Ministry of Health,OS
2020-08-24-T-013,2020-08-24,13,Ministry of Home Affairs,OS
2020-08-24-T-014,2020-08-24,14,Ministry of Law,OS
2020-08-24-T-015,2020-08-24,15,Ministry of Manpower,OS
2020-08-24-T-016,2020-08-24,16,Ministry of National Development,OS
2020-08-24-T-017,2020-08-24,17,Ministry of Social and Family Development,OS
2020-08-24-T-018,2020-08-24,18,Ministry of Sustainability and the Environment,OS
2020-08-24-T-019,2020-08-24,19,Ministry of Trade and Industry,OS
2020-08-24-T-020,2020-08-24,20,Ministry of Transport,OS
2020-08-24-T-021,2020-08-24,21,Prime Minister's Office (Monetary Authority of Singapore),OS
2020-08-24-T-022,2020-08-24,22, Prime Minister’s Office (National Research Foundation),OS
2020-08-24-T-023,2020-08-24,23,Prime Minister's Office (National Security Coordination Secretariat),OS
2020-08-24-T-024,2020-08-24,24,Prime Minister's Office (Public Service Division)(Science & Technology Policy & Plans Office),OS
2020-08-24-T-025,2020-08-24,25,Prime Minister's Office (Smart Nation and Digital Government Group),OS
2020-08-24-T-026,2020-08-24,26,Prime Minister's Office (Strategy Group),OS
