topic_id,date,topic_order,title,section_type
2012-11-14-T-001,2012-11-14,1,HDB Concessionary Loans for Second-time Applicants,OA
2012-11-14-T-002,2012-11-14,2,Prices in HDB Resale Flat Market,OA
2012-11-14-T-003,2012-11-14,3,Ethnic Quota Policy in HDB Resale Blocks,OA
2012-11-14-T-004,2012-11-14,4,Cleaning Fee Hikes at Hawker Centres,OA
2012-11-14-T-005,2012-11-14,5,Legal Framework for Settling Disputes between Neighbours,OA
2012-11-14-T-006,2012-11-14,6,Reasons for Higher Bill for Downtown MRT Line,OA
2012-11-14-T-007,2012-11-14,7,Encouraging Elderly Singaporeans to Sign on for MediShield,OA
2012-11-14-T-008,2012-11-14,8,House Break-ins and Thefts Committed by Foreigners,OA
2012-11-14-T-009,2012-11-14,9,Age-related Fertility Decline,OA
2012-11-14-T-010,2012-11-14,10,Discounted Rentals for Local Arts Groups ,OA
2012-11-14-T-011,2012-11-14,11,Funds Disbursed Under Multi-million Dollar Award Programme,OA
2012-11-14-T-012,2012-11-14,12,Permanent Residents Leaving Singapore Prior to NS Enlistment,OA
2012-11-14-T-013,2012-11-14,13,Education for Social Mobility,OA
2012-11-14-T-014,2012-11-14,14,Use of Funds in Post-Secondary Education Account,OA
2012-11-14-T-015,2012-11-14,15,Extending HOPE Scheme Coverage,OA
2012-11-14-T-016,2012-11-14,16,Recurrent Funds Disbursed to Non-profit Childcare Anchor Operators,OA
2012-11-14-T-017,2012-11-14,17,Sexual Harassment Recourse in Workplace Safety Guidelines for Healthcare Industry,OA
2012-11-14-T-018,2012-11-14,18,Rearrangement of Order of Business,OS
2012-11-14-T-019,2012-11-14,19,Misuse of Drugs (Amendment) Bill,BP
2012-11-14-T-020,2012-11-14,20,Time Limit for Speeches,OS
2012-11-14-T-021,2012-11-14,21,Misuse of Drugs (Amendment) Bill,BP
2012-11-14-T-022,2012-11-14,22,National Service Training Deaths,OS
2012-11-14-T-023,2012-11-14,23,Penal Code (Amendment) Bill,BP
2012-11-14-T-024,2012-11-14,24,Criminal Procedure Code (Amendment) Bill,BP
2012-11-14-T-025,2012-11-14,25,Income Tax (Amendment) Bill,BP
2012-11-14-T-026,2012-11-14,26,Goods and Services Tax Voucher Fund Bill,BP
2012-11-14-T-027,2012-11-14,27,Adjournment,OS
2012-11-14-T-028,2012-11-14,28,Orchard Road Underground Pedestrian Links,WANA
2012-11-14-T-029,2012-11-14,29,Secondary School Streaming,WANA
2012-11-14-T-030,2012-11-14,30,Extension of Advertising Ban for Unhealthy Food,WANA
2012-11-14-T-031,2012-11-14,31,Setting Income Criteria for S Passes and Employment Passes,WANA
2012-11-14-T-032,2012-11-14,32,Foreign Worker Enclaves in HDB Estates,WANA
2012-11-14-T-033,2012-11-14,33,Mother Tongue Language Exemption for Primary School Students,WANA
2012-11-14-T-034,2012-11-14,34,Breach of Employer  CPF Contribution Rules,WANA
2012-11-14-T-035,2012-11-14,35,Economic Impact of China-Japan Islands Dispute on Singapore,WANA
2012-11-14-T-036,2012-11-14,36,Security Assessment of Foreign Telecoms Companies,WANA
2012-11-14-T-037,2012-11-14,37,Curbs on Media during Hougang By-election Campaign in May 2012,WANA
2012-11-14-T-038,2012-11-14,38,Freeze on Government Fee Increases to Limit Inflation,WANA
2012-11-14-T-039,2012-11-14,39,Cost of Treatment for Babies with Congenital Diseases,WANA
2012-11-14-T-040,2012-11-14,40,Adequacy of Singaporeans' Retirement Income,WANA
2012-11-14-T-041,2012-11-14,41,Hoarding in HDB Flats,WANA
2012-11-14-T-042,2012-11-14,42,Applicants who Fail to Complete Purchase of Selected BTO Flats,WANA
2012-11-14-T-043,2012-11-14,43,Mountain Bikes on Bukit Timah Nature Trails,WANA
2012-11-14-T-044,2012-11-14,44,Barrier-free Accessibility Programme,WANA
2012-11-14-T-045,2012-11-14,45,Qualifying Approval Limit for Revitalisation of Shops Scheme,WANA
2012-11-14-T-046,2012-11-14,46,Percentage of Public Service Employees on Flexible Work Arrangements,WA
2012-11-14-T-047,2012-11-14,47,Applications for Singapore Citizenship,WA
2012-11-14-T-048,2012-11-14,48,"Non-taxable Capital Gains from Sale of Properties, Shares and Financial Instruments",WA
2012-11-14-T-049,2012-11-14,49,Test-Bedding of Solar Photovoltaic Installations,WA
2012-11-14-T-050,2012-11-14,50,Relative Performance of PSLE Students,WA
