topic_id,date,topic_order,title,section_type
2015-01-29-T-001,2015-01-29,1,Non-religious Entities Bidding for Developments Zoned for Places of Worship,OA
2015-01-29-T-002,2015-01-29,2,Rescue and Evacuation Procedures for MRT Network,OA
2015-01-29-T-003,2015-01-29,3,Oversight of Operations and Safety of Sentosa Monorail,OA
2015-01-29-T-004,2015-01-29,4,Containers for Alcohol Sold in Residential Areas,OA
2015-01-29-T-005,2015-01-29,5,Additional Anti-terrorism Measures as Singapore Supports Coalition against ISIS,OA
2015-01-29-T-006,2015-01-29,6,Revocation of Local Companies' Intellectual Property Rights by Government Agencies and Government-linked Companies,OA
2015-01-29-T-007,2015-01-29,7,Allowing Middle-income Workers above Age 50 to Increase CPF Contributions to Reduce Tax Liability,OA
2015-01-29-T-008,2015-01-29,8,Criteria for Usage of Funds under Flexi-Medisave Scheme,OA
2015-01-29-T-009,2015-01-29,9,Setting Medisave Minimum Sum by Cohort,OA
2015-01-29-T-010,2015-01-29,10,"Cost of New ""Lay-and-Play"" Natural Grass Turf for National Stadium",OA
2015-01-29-T-011,2015-01-29,11,Usage of Zakat Collections,OA
2015-01-29-T-012,2015-01-29,12,Non-graduates Joining General Education Officers Scheme,OA
2015-01-29-T-013,2015-01-29,13,Quality Jobs for Increasing Number of Graduates,OA
2015-01-29-T-014,2015-01-29,14,Police Force (Amendment) Bill,BI
2015-01-29-T-015,2015-01-29,15,MediShield Life Scheme Bill,BP
2015-01-29-T-016,2015-01-29,16,Adjournment,OS
2015-01-29-T-017,2015-01-29,17,Benefits of Asia-Pacific Free Trade Area for ASEAN and Singapore,WANA
2015-01-29-T-018,2015-01-29,18,Singapore's Contributions to Search and Rescue Mission for AirAsia Flight QZ8501,WANA
2015-01-29-T-019,2015-01-29,19,Foreign Spouses of Singapore Citizens on Immigration Passes and Ineligible to Work in Singapore,WA
2015-01-29-T-020,2015-01-29,20,Recognition for Efforts of SVC and PDF Volunteers in SG50 Celebrations,WA
2015-01-29-T-021,2015-01-29,21,Pre-flight Briefings for Pilots of All Departing Commercial Flights,WA
