topic_id,date,topic_order,title,section_type
2019-03-07-T-001,2019-03-07,1,Insurance and Other Assistance Given to Injured NSmen,OA
2019-03-07-T-002,2019-03-07,2,Night-time Childcare Centres for Low-income Parents who Work Night Shifts,OA
2019-03-07-T-003,2019-03-07,3,Expanding Foreign Construction Worker Directory System to Other Sectors,OA
2019-03-07-T-004,2019-03-07,4,Estimate of Expenditure for the Financial Year 1 April 2019 to 31 March 2020,OS
2019-03-07-T-005,2019-03-07,5,Committee of Supply – Head T (Ministry of National Development),OS
2019-03-07-T-006,2019-03-07,6,Committee of Supply – Head W (Ministry of Transport),OS
2019-03-07-T-007,2019-03-07,7,Committee of Supply – Head L (Ministry of the Environment and Water Resources),OS
2019-03-07-T-008,2019-03-07,8,Committee of Supply Reporting Progress,OS
2019-03-07-T-009,2019-03-07,9,Adjournment,OS
2019-03-07-T-010,2019-03-07,10,UL2272 Fire Safety Standards for All PMDs,WA
2019-03-07-T-011,2019-03-07,11,Update on Review on Getting More Companies to Offer Neo-natal Insurance for In-vitro Fertilisation,WA
2019-03-07-T-012,2019-03-07,12,Regulation of Non-subsidised Private Daycare and Homecare Services,WA
2019-03-07-T-013,2019-03-07,13,"Fire Hazards Posed by Use of Lithium-ion Batteries for Electric Bicycles, PMDs and Electric Devices",WA
2019-03-07-T-014,2019-03-07,14,Compensation for Repair of Damage Caused by Fire in Neighbour's HDB Flat,WA
